Invoice Number;Invoice Date;Order ID;Reference Number;Customer Name;Place of Supply;Invoice Status;Payment Mode;Presentment Currency;Presentment Amount;Currency;Total
INV-EU-2026-4000;09.08.2026;order_MB6ymXs9GqZS6T;RCPT-EU-100000;Noah Jansen;Frankfurt;Paid;Card;EUR;5.06;EUR;5.06
INV-EU-2026-4001;18.08.2026;order_XnfolC2HfIzums;RCPT-EU-100001;Bram Andersen;Cologne;Paid;Card;EUR;4.06;EUR;4.06
INV-EU-2026-4002;01.08.2026;order_sLjdjsght3gZOh;RCPT-EU-100002;Sanne Weber;Milan;Paid;Sepa;EUR;1.69;EUR;1.69
INV-EU-2026-4003;11.08.2026;order_Y4TNb4tTilP6xR;RCPT-EU-100003;Luca Weber;Antwerp;Paid;Card;EUR;18.99;EUR;18.99
INV-EU-2026-4004;23.08.2026;order_fc7pRqLaCEeJTz;RCPT-EU-100004;Hanna Weber;Amsterdam;Paid;Card;EUR;7.49;EUR;7.49
INV-EU-2026-4005;13.08.2026;order_f8Treh82QTyYZr;RCPT-EU-100005;Mila Andersen;Frankfurt;Paid;Wallet;EUR;13.16;EUR;13.16
INV-EU-2026-4006;18.08.2026;order_ecReweqrA5r0up;RCPT-EU-100006;Sanne Meyer;Berlin;Paid;Card;EUR;14.04;EUR;14.04
INV-EU-2026-4007;13.08.2026;order_vy69vh6UbPjQyF;RCPT-EU-100007;Finn Schneider;Lisbon;Paid;Card;EUR;10.05;EUR;10.05
INV-EU-2026-4008;08.08.2026;order_GtyTRqxcbMFgGV;RCPT-EU-100008;Ida Jansen;Hamburg;Paid;Card;EUR;12.04;EUR;12.04
INV-EU-2026-4009;20.08.2026;order_gllxLQIiTyYmci;RCPT-EU-100009;Jonas Rossi;Dublin;Paid;Ideal;EUR;3.28;EUR;3.28
INV-EU-2026-4010;23.08.2026;order_M0eVAfXqwMuIe2;RCPT-EU-100010;Finn Novak;Munich;Paid;Wallet;EUR;8.32;EUR;8.32
