Invoice Number;Invoice Date;Order ID;Reference Number;Customer Name;Place of Supply;Invoice Status;Payment Mode;Presentment Currency;Presentment Amount;Currency;Total
INV-EU-2026-4000;22.08.2026;order_7HIPtGADdzfLrj;RCPT-EU-100000;Ida Rossi;Frankfurt;Paid;Card;EUR;0.81;EUR;0.81
INV-EU-2026-4001;14.08.2026;order_QAxnV1SYEEFNlo;RCPT-EU-100001;Sanne Schneider;Dublin;Paid;Card;EUR;11.18;EUR;11.18
INV-EU-2026-4002;19.08.2026;order_DGGCg9QPvtZQa0;RCPT-EU-100002;Emilia Novak;Munich;Paid;Card;GBP;5.18;EUR;6.04
INV-EU-2026-4003;05.08.2026;order_DCLSXhkIFXI5cV;RCPT-EU-100003;Elias Bakker;Berlin;Paid;Sepa;EUR;12.53;EUR;12.53
INV-EU-2026-4004;16.08.2026;order_7vvtIy96VWFre5;RCPT-EU-100004;Lukas Jansen;Dublin;Paid;Sepa;EUR;8.62;EUR;8.62
INV-EU-2026-4005;11.08.2026;order_O9sHfxnq6fQ5AX;RCPT-EU-100005;Finn de Vries;Hamburg;Paid;Sepa;EUR;7.06;EUR;7.06
INV-EU-2026-4006;11.08.2026;order_IfW152CtE8R0KH;RCPT-EU-100006;Ida Wagner;Lisbon;Paid;Card;EUR;4.23;EUR;4.23
INV-EU-2026-4007;22.08.2026;order_TpykBpIZdMBx1R;RCPT-EU-100007;Elias Andersen;Berlin;Paid;Ideal;EUR;20.95;EUR;20.95
INV-EU-2026-4008;04.08.2026;order_RxWis8hgnwKZ2y;RCPT-EU-100008;Ida Novak;Frankfurt;Paid;Sepa;EUR;3.25;EUR;3.25
INV-EU-2026-4009;05.08.2026;order_P5YFTiy7UQ6t2B;RCPT-EU-100009;Sanne Meyer;Antwerp;Paid;Card;EUR;2.21;EUR;2.21
INV-EU-2026-4010;09.08.2026;order_84fl8sFwOchjS1;RCPT-EU-100010;Hanna Rossi;Frankfurt;Paid;Card;EUR;27.48;EUR;27.48
INV-EU-2026-4011;20.08.2026;order_Ch6ZizkHfFsKE7;RCPT-EU-100011;Ida Andersen;Frankfurt;Paid;Ideal;EUR;12.88;EUR;12.88
INV-EU-2026-4012;16.08.2026;order_ArSUuWPnfGfulH;RCPT-EU-100012;Ida Müller;Frankfurt;Paid;Card;EUR;38.34;EUR;38.34
INV-EU-2026-4013;17.08.2026;order_5LUmU57MNxM4GI;RCPT-EU-100013;Luca Wagner;Munich;Paid;Card;EUR;3.62;EUR;3.62
INV-EU-2026-4014;14.08.2026;order_Vgr1MzEeGBCwjn;RCPT-EU-100014;Elias Fischer;Hamburg;Paid;Sepa;EUR;10.35;EUR;10.35
INV-EU-2026-4015;06.08.2026;order_mXAosC2MLadXvX;RCPT-EU-100015;Emilia Schmidt;Antwerp;Paid;Wallet;EUR;21.43;EUR;21.43
INV-EU-2026-4016;01.08.2026;order_7ZI5V4isXxbwLZ;RCPT-EU-100016;Noah Weber;Cologne;Paid;Card;EUR;25.43;EUR;25.43
INV-EU-2026-4017;12.08.2026;order_fpNsHwZkBHnGvP;RCPT-EU-100017;Paul de Vries;Berlin;Paid;Sepa;EUR;2.14;EUR;2.14
INV-EU-2026-4018;21.08.2026;order_KYeK2finmDb8fa;RCPT-EU-100018;Lena de Vries;Rotterdam;Paid;Card;EUR;16.98;EUR;16.98
INV-EU-2026-4019;09.08.2026;order_ZDlu8UEz5ObueQ;RCPT-EU-100019;Sophie Andersen;Milan;Paid;Card;EUR;4.17;EUR;4.17
INV-EU-2026-4020;05.08.2026;order_QolraXxvh0I8Su;RCPT-EU-100020;Bram Schmidt;Antwerp;Paid;Sepa;EUR;16.99;EUR;16.99
INV-EU-2026-4021;17.08.2026;order_oDARQbBnCGOiRE;RCPT-EU-100021;Lena Jansen;Cologne;Paid;Card;EUR;15.39;EUR;15.39
INV-EU-2026-4022;11.08.2026;order_XJp1mUSjwv06Lb;RCPT-EU-100022;Sophie Jansen;Vienna;Paid;Sepa;EUR;8.67;EUR;8.67
INV-EU-2026-4023;22.08.2026;order_Utckm658r6Rchz;RCPT-EU-100023;Sanne Meyer;Amsterdam;Paid;Sepa;EUR;5.62;EUR;5.62
INV-EU-2026-4024;24.08.2026;order_Fwd42SzBOhDiKk;RCPT-EU-100024;Hanna Andersen;Antwerp;Paid;Card;EUR;4.43;EUR;4.43
INV-EU-2026-4025;14.08.2026;order_tn6Caw0qW2AzY1;RCPT-EU-100025;Lukas Andersen;Munich;Paid;Card;EUR;12.96;EUR;12.96
INV-EU-2026-4026;14.08.2026;order_DwdBle6zCUGMLW;RCPT-EU-100026;Mila Jansen;Hamburg;Paid;Card;CHF;5.54;EUR;5.64
INV-EU-2026-4027;13.08.2026;order_jx9Fe3OZDN8Izz;RCPT-EU-100027;Luca Andersen;Berlin;Paid;Sepa;EUR;3.85;EUR;3.85
INV-EU-2026-4028;08.08.2026;order_IovnRhiDJkxLAN;RCPT-EU-100028;Elias Schmidt;Vienna;Paid;Ideal;EUR;15.14;EUR;15.14
INV-EU-2026-4029;23.08.2026;order_rFy0cNCiahfK81;RCPT-EU-100029;Noah Weber;Frankfurt;Paid;Ideal;EUR;4.49;EUR;4.49
INV-EU-2026-4030;04.08.2026;order_ivT9VwZjqFQMMY;RCPT-EU-100030;Luca Bakker;Cologne;Paid;Card;EUR;6.34;EUR;6.34
INV-EU-2026-4031;11.08.2026;order_baxEV60b7gIpNx;RCPT-EU-100031;Ida Bakker;Berlin;Paid;Card;SEK;49.10;EUR;4.23
INV-EU-2026-4032;20.08.2026;order_0GntKQxi5TjOWn;RCPT-EU-100032;Elias Bakker;Milan;Paid;Wallet;EUR;4.09;EUR;4.09
INV-EU-2026-4033;17.08.2026;order_VF73XRd4HcuIP5;RCPT-EU-100033;Jonas de Vries;Rotterdam;Paid;Ideal;EUR;2.91;EUR;2.91
INV-EU-2026-4035;17.08.2026;order_9fmGeWa5n6skwa;RCPT-EU-100035;Bram Jansen;Milan;Paid;Sepa;EUR;38.44;EUR;38.44
INV-EU-2026-4036;14.08.2026;order_T4l4EPH2cPg3ZD;RCPT-EU-100036;Hanna Rossi;Frankfurt;Paid;Card;SEK;54.31;EUR;4.68
INV-EU-2026-4037;03.08.2026;order_yIH4ik8dASPuTB;RCPT-EU-100037;Jonas Jansen;Cologne;Paid;Wallet;EUR;17.16;EUR;17.16
INV-EU-2026-4038;13.08.2026;order_7s5DMU12W5eBLo;RCPT-EU-100038;Finn de Vries;Lisbon;Paid;Sepa;EUR;7.97;EUR;7.97
INV-EU-2026-4039;02.08.2026;order_O3THtsMRLuPgqS;RCPT-EU-100039;Mila Weber;Hamburg;Paid;Card;EUR;14.47;EUR;14.47
INV-EU-2026-4040;09.08.2026;order_KSwMPLRujBLy5J;RCPT-EU-100040;Sanne Andersen;Dublin;Paid;Sepa;EUR;5.38;EUR;5.38
INV-EU-2026-4041;16.08.2026;order_iLmxxKHmbPqcjx;RCPT-EU-100041;Bram de Vries;Amsterdam;Paid;Card;EUR;7.90;EUR;7.90
INV-EU-2026-4042;20.08.2026;order_LkoilyuPnJDTbC;RCPT-EU-100042;Jonas Rossi;Antwerp;Paid;Card;EUR;5.84;EUR;5.84
INV-EU-2026-4043;06.08.2026;order_mIJvdhvCAPa4hJ;RCPT-EU-100043;Ida Schmidt;Berlin;Paid;Card;EUR;2.65;EUR;2.65
INV-EU-2026-4044;22.08.2026;order_ZlpDvVks634l74;RCPT-EU-100044;Paul Fischer;Frankfurt;Paid;Wallet;EUR;6.55;EUR;6.55
INV-EU-2026-4045;02.08.2026;order_3fNiYaEDsRX8Rn;RCPT-EU-100045;Paul Bakker;Lisbon;Paid;Card;EUR;10.80;EUR;10.80
INV-EU-2026-4046;09.08.2026;order_qDTZmPfCMJgmIC;RCPT-EU-100046;Bram de Vries;Milan;Paid;Card;EUR;7.90;EUR;7.90
INV-EU-2026-4047;23.08.2026;order_XWnNIC2BvoekAz;RCPT-EU-100047;Lena Rossi;Munich;Paid;Card;EUR;4.78;EUR;4.78
INV-EU-2026-4048;12.08.2026;order_exKWqtPhFvV6bz;RCPT-EU-100048;Luca Novak;Antwerp;Paid;Sepa;EUR;14.99;EUR;14.99
INV-EU-2026-4049;01.08.2026;order_WU5XkTQ0q4LpeY;RCPT-EU-100049;Finn Andersen;Munich;Paid;Card;EUR;11.54;EUR;11.54
INV-EU-2026-4050;20.08.2026;order_eBJmMROQrOPhA7;RCPT-EU-100050;Mila de Vries;Cologne;Paid;Sepa;EUR;9.68;EUR;9.68
INV-EU-2026-4051;25.08.2026;order_ZrK9M0KKVnsfzk;RCPT-EU-100051;Ida Weber;Vienna;Paid;Sepa;EUR;8.25;EUR;8.25
INV-EU-2026-4052;18.08.2026;order_xreCKn3a3eDWQZ;RCPT-EU-100052;Paul Weber;Milan;Paid;Sepa;EUR;3.26;EUR;3.26
INV-EU-2026-4053;12.08.2026;order_nqSOpLAels8y7I;RCPT-EU-100053;Luca Rossi;Lisbon;Paid;Card;EUR;19.04;EUR;19.04
INV-EU-2026-4054;22.08.2026;order_31pSOZunawJkYr;RCPT-EU-100054;Sanne Schneider;Munich;Paid;Card;EUR;10.53;EUR;10.53
INV-EU-2026-4055;09.08.2026;order_EA5wTqFALVeIyM;RCPT-EU-100055;Lena Andersen;Antwerp;Paid;Card;USD;5.57;EUR;5.11
INV-EU-2026-4056;13.08.2026;order_iHrERWBwjTEgdA;RCPT-EU-100056;Lukas Andersen;Antwerp;Paid;Card;EUR;9.75;EUR;9.75
INV-EU-2026-4057;08.08.2026;order_aQ56nBAkJOUYuX;RCPT-EU-100057;Luca Andersen;Vienna;Paid;Sepa;EUR;4.28;EUR;4.28
