Invoice Number;Invoice Date;Order ID;Reference Number;Customer Name;Place of Supply;Invoice Status;Payment Mode;Presentment Currency;Presentment Amount;Currency;Total
INV-EU-2026-4000;04.08.2026;order_TVA9aw7HIPtGAD;RCPT-EU-100000;Finn Jansen;Antwerp;Paid;Card;EUR;88.32;EUR;88.32
INV-EU-2026-4001;24.08.2026;order_kGCJNcQAxnV1SY;RCPT-EU-100001;Mila Müller;Dublin;Paid;Card;EUR;85.52;EUR;85.52
INV-EU-2026-4002;20.08.2026;order_r8Y4emFaDGGCg9;RCPT-EU-100002;Ida Bakker;Cologne;Paid;Card;CHF;105.29;EUR;107.22
INV-EU-2026-4003;10.08.2026;order_ERacPDCLSXhkIF;RCPT-EU-100003;Sanne Meyer;Lisbon;Paid;Wallet;EUR;62.75;EUR;62.75
INV-EU-2026-4004;17.08.2026;order_XvC57vvtIy96VW;RCPT-EU-100004;Ida Andersen;Berlin;Paid;Card;EUR;45.49;EUR;45.49
INV-EU-2026-4005;19.08.2026;order_vsldcd1iFhwgBT;RCPT-EU-100005;Bram Müller;Amsterdam;Paid;Sepa;EUR;96.69;EUR;96.69
INV-EU-2026-4006;04.08.2026;order_QMobzzw6M4NYOl;RCPT-EU-100006;Elias Jansen;Vienna;Paid;Card;EUR;86.82;EUR;86.82
INV-EU-2026-4007;02.08.2026;order_11ncUE1CR3mCrt;RCPT-EU-100007;Lena Weber;Lisbon;Paid;Wallet;EUR;96.85;EUR;96.85
INV-EU-2026-4008;01.08.2026;order_M0eQLtAweitCLO;RCPT-EU-100008;Paul Andersen;Milan;Paid;Card;EUR;93.14;EUR;93.14
INV-EU-2026-4009;03.08.2026;order_08VdUpNGu30zp7;RCPT-EU-100009;Finn Fischer;Frankfurt;Paid;Ideal;EUR;50.44;EUR;50.44
INV-EU-2026-4010;10.08.2026;order_bzCLiVry6IeJh5;RCPT-EU-100010;Sanne Jansen;Dublin;Paid;Wallet;EUR;85.04;EUR;85.04
INV-EU-2026-4011;03.08.2026;order_NT2J9ihRkfMaiH;RCPT-EU-100011;Marie de Vries;Frankfurt;Paid;Card;EUR;77.16;EUR;77.16
INV-EU-2026-4012;19.08.2026;order_UGManB7QIsxBCM;RCPT-EU-100012;Noah Novak;Vienna;Paid;Card;SEK;224.58;EUR;19.37
INV-EU-2026-4013;16.08.2026;order_hnKiN3oioNhN2i;RCPT-EU-100013;Elias Fischer;Milan;Paid;Sepa;EUR;130.31;EUR;130.31
INV-EU-2026-4014;12.08.2026;order_ytIMZorzBGMkrW;RCPT-EU-100014;Finn Andersen;Munich;Paid;Card;EUR;134.57;EUR;134.57
INV-EU-2026-4015;01.08.2026;order_dEwGUZdbgWbNmX;RCPT-EU-100015;Emilia Wagner;Cologne;Paid;Card;EUR;69.31;EUR;69.31
INV-EU-2026-4016;12.08.2026;order_VzwQR6HvvxK07Z;RCPT-EU-100016;Emilia Wagner;Amsterdam;Paid;Card;EUR;133.56;EUR;133.56
INV-EU-2026-4017;03.08.2026;order_YgfpNsHwZkBHnG;RCPT-EU-100017;Paul de Vries;Berlin;Paid;Card;INR;16665.77;EUR;183.17
INV-EU-2026-4018;21.08.2026;order_KYeK2finmDb8fa;RCPT-EU-100018;Lena de Vries;Rotterdam;Paid;Card;EUR;181.53;EUR;181.53
INV-EU-2026-4019;09.08.2026;order_ZDlu8UEz5ObueQ;RCPT-EU-100019;Sophie Andersen;Milan;Paid;Card;EUR;53.16;EUR;53.16
INV-EU-2026-4020;05.08.2026;order_aXxvh0I8SuIPeH;RCPT-EU-100020;Luca Bakker;Lisbon;Paid;Card;SEK;760.70;EUR;65.60
INV-EU-2026-4021;23.08.2026;order_QbBnCGOiREwF6r;RCPT-EU-100021;Mila Rossi;Vienna;Paid;Sepa;EUR;103.76;EUR;103.76
INV-EU-2026-4022;12.08.2026;order_jwv06LbpXlGd4U;RCPT-EU-100022;Bram Rossi;Cologne;Paid;Card;EUR;100.79;EUR;100.79
INV-EU-2026-4023;25.08.2026;order_6HUtckm658r6Rc;RCPT-EU-100023;Noah Fischer;Frankfurt;Paid;Card;EUR;69.00;EUR;69.00
INV-EU-2026-4024;24.08.2026;order_Fwd42SzBOhDiKk;RCPT-EU-100024;Hanna Andersen;Antwerp;Paid;Card;EUR;56.04;EUR;56.04
INV-EU-2026-4025;14.08.2026;order_tn6Caw0qW2AzY1;RCPT-EU-100025;Lukas Andersen;Munich;Paid;Card;EUR;143.32;EUR;143.32
INV-EU-2026-4026;14.08.2026;order_DwdBle6zCUGMLW;RCPT-EU-100026;Mila Jansen;Hamburg;Paid;Card;CHF;68.16;EUR;69.41
INV-EU-2026-4027;13.08.2026;order_jx9Fe3OZDN8Izz;RCPT-EU-100027;Luca Andersen;Berlin;Paid;Sepa;EUR;49.60;EUR;49.60
INV-EU-2026-4028;08.08.2026;order_IovnRhiDJkxLAN;RCPT-EU-100028;Elias Schmidt;Vienna;Paid;Ideal;EUR;164.25;EUR;164.25
INV-EU-2026-4029;23.08.2026;order_rFy0cNCiahfK81;RCPT-EU-100029;Noah Weber;Frankfurt;Paid;Ideal;EUR;56.73;EUR;56.73
INV-EU-2026-4030;04.08.2026;order_ivT9VwZjqFQMMY;RCPT-EU-100030;Luca Bakker;Cologne;Paid;Card;EUR;76.67;EUR;76.67
INV-EU-2026-4031;11.08.2026;order_baxEV60b7gIpNx;RCPT-EU-100031;Ida Bakker;Berlin;Paid;Card;SEK;625.93;EUR;53.98
INV-EU-2026-4032;20.08.2026;order_0GntKQxi5TjOWn;RCPT-EU-100032;Elias Bakker;Milan;Paid;Wallet;EUR;52.20;EUR;52.20
INV-EU-2026-4033;17.08.2026;order_VF73XRd4HcuIP5;RCPT-EU-100033;Jonas de Vries;Rotterdam;Paid;Ideal;EUR;38.76;EUR;38.76
INV-EU-2026-4034;24.08.2026;order_qITwq2v6Ynlozw;RCPT-EU-100034;Sanne Müller;Hamburg;Paid;Card;USD;67.75;EUR;62.16
INV-EU-2026-4035;04.08.2026;order_Wa5n6skwawSf4d;RCPT-EU-100035;Sophie Bakker;Munich;Paid;Card;SEK;4391.57;EUR;378.72
INV-EU-2026-4036;17.08.2026;order_cPg3ZDesGh6PiT;RCPT-EU-100036;Lena de Vries;Frankfurt;Paid;Card;EUR;394.11;EUR;394.11
INV-EU-2026-4037;06.08.2026;order_PuTBULEc5c0hZJ;RCPT-EU-100037;Mila Müller;Rotterdam;Paid;Sepa;EUR;109.84;EUR;109.84
INV-EU-2026-4038;23.08.2026;order_5R3at4IVs98xca;RCPT-EU-100038;Sophie Novak;Milan;Paid;Card;EUR;53.83;EUR;53.83
INV-EU-2026-4039;06.08.2026;order_dEc6hEh6CAmlSi;RCPT-EU-100039;Hanna Andersen;Amsterdam;Paid;Card;EUR;163.34;EUR;163.34
INV-EU-2026-4040;09.08.2026;order_eyChSg02orhv8i;RCPT-EU-100040;Ida Fischer;Lisbon;Paid;Card;EUR;208.67;EUR;208.67
INV-EU-2026-4041;25.08.2026;order_kc34LUJmBmfzbg;RCPT-EU-100041;Luca Andersen;Berlin;Paid;Sepa;EUR;293.45;EUR;293.45
INV-EU-2026-4043;15.08.2026;order_nOSQHj2PadF7OX;RCPT-EU-100043;Finn Müller;Hamburg;Paid;Wallet;CHF;27.11;EUR;27.61
INV-EU-2026-4043-DUP;15.08.2026;order_nOSQHj2PadF7OX;RCPT-EU-100043;Finn Müller;Hamburg;Paid;Wallet;CHF;27.11;EUR;27.61
INV-EU-2026-4044;13.08.2026;order_aWPLyjzKeNZNmd;RCPT-EU-100044;Bram Jansen;Cologne;Paid;Wallet;EUR;21.34;EUR;21.34
INV-EU-2026-4045;22.08.2026;order_7ptNRGXDJu7xXI;RCPT-EU-100045;Noah Wagner;Cologne;Paid;Card;EUR;46.22;EUR;46.22
INV-EU-2026-4046;05.08.2026;order_IYh3WOGSXWnNIC;RCPT-EU-100046;Hanna Rossi;Lisbon;Paid;Card;EUR;44.32;EUR;44.32
INV-EU-2026-4047;14.08.2026;order_PhFvV6bzJelQs2;RCPT-EU-100047;Sophie Meyer;Munich;Paid;Card;EUR;133.34;EUR;133.34
INV-EU-2026-4048;09.08.2026;order_YnV95XBkt8NxEo;RCPT-EU-100048;Jonas Weber;Munich;Paid;Card;EUR;47.38;EUR;47.38
INV-EU-2026-4049;15.08.2026;order_hA7iZAPjf2pwjF;RCPT-EU-100049;Lena Schmidt;Berlin;Paid;Card;EUR;98.31;EUR;98.31
INV-EU-2026-4050;23.08.2026;order_XUtL6gvI4EE0G4;RCPT-EU-100050;Bram Müller;Hamburg;Paid;Card;GBP;91.92;EUR;107.10
INV-EU-2026-4051;14.08.2026;order_k1IkaptInv1RzK;RCPT-EU-100051;Mila Rossi;Hamburg;Paid;Card;EUR;60.30;EUR;60.30
INV-EU-2026-4052;16.08.2026;order_SWuizHZV5B1i2e;RCPT-EU-100052;Jonas Weber;Cologne;Paid;Wallet;EUR;177.70;EUR;177.70
INV-EU-2026-4053;21.08.2026;order_5Q4fbHJU4BRkkJ;RCPT-EU-100053;Noah Fischer;Munich;Paid;Card;EUR;193.07;EUR;193.07
INV-EU-2026-4054;12.08.2026;order_jDNjnq0nQRM8S3;RCPT-EU-100054;Lukas Schneider;Antwerp;Paid;Card;USD;155.16;EUR;142.35
INV-EU-2026-4055;12.08.2026;order_1taQ56nBAkJOUY;RCPT-EU-100055;Sanne Meyer;Rotterdam;Paid;Card;EUR;59.83;EUR;59.83
INV-EU-2026-4055-DUP;12.08.2026;order_1taQ56nBAkJOUY;RCPT-EU-100055;Sanne Meyer;Rotterdam;Paid;Card;EUR;59.83;EUR;59.83
INV-EU-2026-4056;09.08.2026;order_XWLbBAZgDZGU8i;RCPT-EU-100056;Lukas Schneider;Vienna;Paid;Sepa;EUR;55.27;EUR;55.27
INV-EU-2026-4057;09.08.2026;order_4c2tobgk7HH1vs;RCPT-EU-100057;Ida Wagner;Antwerp;Paid;Card;EUR;64.17;EUR;64.17
INV-EU-2026-4058;20.08.2026;order_ejZD39Iw5fHOL1;RCPT-EU-100058;Sophie de Vries;Rotterdam;Paid;Card;EUR;40.95;EUR;40.95
INV-EU-2026-4059;03.08.2026;order_jcywf4PEzf2Dx3;RCPT-EU-100059;Emilia Schmidt;Vienna;Paid;Card;EUR;76.13;EUR;76.13
INV-EU-2026-4060;15.08.2026;order_mNsNLxIKsldCIR;RCPT-EU-100060;Hanna Fischer;Berlin;Paid;Card;EUR;113.57;EUR;113.57
INV-EU-2026-4061;23.08.2026;order_IgH8GWgtaPflHS;RCPT-EU-100061;Jonas Rossi;Lisbon;Paid;Sepa;EUR;225.32;EUR;225.32
