Invoice Number;Invoice Date;Order ID;Reference Number;Customer Name;Place of Supply;Invoice Status;Payment Mode;Presentment Currency;Presentment Amount;Currency;Total
INV-EU-2026-4000;10.08.2026;order_aC9qEwjky40UVs;RCPT-EU-100000;Jonas Schmidt;Rotterdam;Paid;Card;EUR;15.69;EUR;15.69
INV-EU-2026-4001;22.08.2026;order_KnHfDNxSIvPZZ6;RCPT-EU-100001;Jonas Schneider;Cologne;Paid;Sepa;EUR;12.95;EUR;12.95
INV-EU-2026-4002;09.08.2026;order_f1lLQSAJaiXnkU;RCPT-EU-100002;Marie Jansen;Lisbon;Paid;Ideal;EUR;13.87;EUR;13.87
INV-EU-2026-4003;13.08.2026;order_8XnBE3NnYJoQ9W;RCPT-EU-100003;Sophie Jansen;Cologne;Paid;Card;EUR;7.00;EUR;7.00
INV-EU-2026-4004;10.08.2026;order_3Fs2QhX6KWxOii;RCPT-EU-100004;Finn Andersen;Amsterdam;Paid;Card;EUR;9.09;EUR;9.09
INV-EU-2026-4005;24.08.2026;order_9XFOGOeMVNen5n;RCPT-EU-100005;Jonas Rossi;Munich;Paid;Card;EUR;31.01;EUR;31.01
INV-EU-2026-4006;23.08.2026;order_pJn0meq7WJjjIB;RCPT-EU-100006;Ida Fischer;Amsterdam;Paid;Card;INR;3238.27;EUR;35.59
INV-EU-2026-4007;12.08.2026;order_xLmAxzJLJenuHj;RCPT-EU-100007;Bram Andersen;Munich;Paid;Sepa;EUR;21.41;EUR;21.41
INV-EU-2026-4008;02.08.2026;order_g8Psh4487Q7j58;RCPT-EU-100008;Paul Jansen;Vienna;Paid;Card;EUR;4.67;EUR;4.67
INV-EU-2026-4009;08.08.2026;order_GZ4fKq1OKtbgZV;RCPT-EU-100009;Jonas Novak;Vienna;Paid;Card;EUR;9.72;EUR;9.72
INV-EU-2026-4010;08.08.2026;order_UFRDzsLb5ER8Bo;RCPT-EU-100010;Mila Schmidt;Rotterdam;Paid;Card;EUR;13.83;EUR;13.83
INV-EU-2026-4011;15.08.2026;order_ToThwNScgrLRWz;RCPT-EU-100011;Lukas Müller;Milan;Paid;Wallet;EUR;8.17;EUR;8.17
INV-EU-2026-4012;07.08.2026;order_WD1IAEov4QbKDF;RCPT-EU-100012;Hanna Müller;Cologne;Paid;Card;EUR;6.28;EUR;6.28
INV-EU-2026-4013;09.08.2026;order_gpMPgxAFQ0FJZl;RCPT-EU-100013;Hanna Rossi;Amsterdam;Paid;Card;EUR;4.87;EUR;4.87
INV-EU-2026-4014;17.08.2026;order_uszgI6hwgk10zB;RCPT-EU-100014;Lukas Müller;Hamburg;Paid;Card;EUR;11.98;EUR;11.98
INV-EU-2026-4015;04.08.2026;order_EvveQzE2QPuwNO;RCPT-EU-100015;Paul Schmidt;Cologne;Paid;Card;USD;5.09;EUR;4.67
INV-EU-2026-4016;10.08.2026;order_GsNrfSthSdddxH;RCPT-EU-100016;Hanna Schmidt;Cologne;Paid;Sepa;EUR;8.68;EUR;8.68
INV-EU-2026-4017;03.08.2026;order_frcZTuJaWYUH1V;RCPT-EU-100017;Sophie Fischer;Milan;Paid;Card;EUR;8.36;EUR;8.36
INV-EU-2026-4018;02.08.2026;order_648jjNuFD7uacn;RCPT-EU-100018;Marie de Vries;Hamburg;Paid;Card;EUR;8.06;EUR;8.06
INV-EU-2026-4019;14.08.2026;order_g5zfjOc6VwcbIj;RCPT-EU-100019;Noah de Vries;Munich;Paid;Card;EUR;7.82;EUR;7.82
INV-EU-2026-4020;12.08.2026;order_Irghoy32NFR5PY;RCPT-EU-100020;Sanne Wagner;Rotterdam;Paid;Sepa;EUR;21.54;EUR;21.54
