Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Presentment Currency,Presentment Amount,Currency,Total
INV-IN-2026-4000,10/08/26,order_J7faC9qEwjky40,RCPT-IN-100000,Myra Menon,Jaipur,Paid,Upi,INR,962.00,INR,962.00
INV-IN-2026-4001,15/08/26,order_Y4qWB8dWKnHfDN,RCPT-IN-100001,Vihaan Kulkarni,Gurugram,Paid,Upi,INR,720.00,INR,720.00
INV-IN-2026-4002,16/08/26,order_JOqOAf1lLQSAJa,RCPT-IN-100002,Sara Rao,Chennai,Paid,Upi,INR,281.00,INR,281.00
INV-IN-2026-4003,23/08/26,order_eoZDMENcKHVmDG,RCPT-IN-100003,Vihaan Bose,Mumbai,Paid,Wallet,INR,628.00,INR,628.00
INV-IN-2026-4004,20/08/26,order_GvVvQe1sKhBN88,RCPT-IN-100004,Vihaan Kulkarni,Kolkata,Paid,Netbanking,INR,710.00,INR,710.00
INV-IN-2026-4005,25/08/26,order_Onzyw2MzP0ZvzO,RCPT-IN-100005,Aditi Menon,Kochi,Paid,Wallet,INR,734.00,INR,734.00
INV-IN-2026-4006,12/08/26,order_6YytwMe4LbyoVF,RCPT-IN-100006,Kavya Das,Noida,Paid,Upi,INR,538.00,INR,538.00
INV-IN-2026-4007,03/08/26,order_JjjIBAzupGhv7I,RCPT-IN-100007,Anika Bhat,Gurugram,Paid,Upi,INR,1017.00,INR,1017.00
INV-IN-2026-4008,12/08/26,order_LJenuHjDUrhhje,RCPT-IN-100008,Ananya Reddy,Hyderabad,Paid,Card,INR,300.00,INR,300.00
INV-IN-2026-4009,07/08/26,order_8M1cIaHZcUEqPb,RCPT-IN-100009,Vivaan Gupta,Mumbai,Paid,Upi,INR,816.00,INR,816.00
INV-IN-2026-4010,05/08/26,order_MWUFuXBVjdctBY,RCPT-IN-100010,Diya Verma,Gurugram,Paid,Card,INR,2941.00,INR,2941.00
INV-IN-2026-4011,04/08/26,order_i6gkfsUFRDzsLb,RCPT-IN-100011,Arjun Sharma,Indore,Paid,Upi,INR,320.00,INR,320.00
INV-IN-2026-4012,09/08/26,order_LM7ToThwNScgrL,RCPT-IN-100012,Aarav Sharma,Bengaluru,Paid,Card,INR,1411.00,INR,1411.00
INV-IN-2026-4013,18/08/26,order_NOVM14tuoIZWD1,RCPT-IN-100013,Diya Joshi,Kochi,Paid,Upi,INR,556.00,INR,556.00
INV-IN-2026-4014,14/08/26,order_9VjUPC94TNWLAV,RCPT-IN-100014,Aditi Gupta,Kolkata,Paid,Upi,INR,1773.00,INR,1773.00
INV-IN-2026-4015,08/08/26,order_h2wJq5ty4mYwUu,RCPT-IN-100015,Vihaan Gupta,Kochi,Paid,Upi,INR,331.00,INR,331.00
INV-IN-2026-4016,05/08/26,order_tr9spOFBCIoX9G,RCPT-IN-100016,Vivaan Bose,Indore,Paid,Card,INR,465.00,INR,465.00
INV-IN-2026-4017,09/08/26,order_NOvpdf2YEe6rSx,RCPT-IN-100017,Sara Nair,Chennai,Paid,Card,INR,456.00,INR,456.00
INV-IN-2026-4018,24/08/26,order_jMTF7eBSdE0g9c,RCPT-IN-100018,Rehan Reddy,Mumbai,Paid,Card,INR,462.00,INR,462.00
