Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Presentment Currency,Presentment Amount,Currency,Total
INV-IN-2026-4000,10/08/26,order_J7faC9qEwjky40,RCPT-IN-100000,Myra Menon,Jaipur,Paid,Upi,INR,710.00,INR,710.00
INV-IN-2026-4001,15/08/26,order_Y4qWB8dWKnHfDN,RCPT-IN-100001,Vihaan Kulkarni,Gurugram,Paid,Upi,INR,483.00,INR,483.00
INV-IN-2026-4002,16/08/26,order_JOqOAf1lLQSAJa,RCPT-IN-100002,Sara Rao,Chennai,Paid,Upi,INR,138.00,INR,138.00
INV-IN-2026-4003,23/08/26,order_eoZDMENcKHVmDG,RCPT-IN-100003,Vihaan Bose,Mumbai,Paid,Wallet,INR,402.00,INR,402.00
INV-IN-2026-4004,20/08/26,order_GvVvQe1sKhBN88,RCPT-IN-100004,Vihaan Kulkarni,Kolkata,Paid,Netbanking,INR,474.00,INR,474.00
INV-IN-2026-4005,25/08/26,order_Onzyw2MzP0ZvzO,RCPT-IN-100005,Aditi Menon,Kochi,Paid,Wallet,INR,496.00,INR,496.00
INV-IN-2026-4006,12/08/26,order_6YytwMe4LbyoVF,RCPT-IN-100006,Kavya Das,Noida,Paid,Upi,INR,327.00,INR,327.00
INV-IN-2026-4007,03/08/26,order_JjjIBAzupGhv7I,RCPT-IN-100007,Anika Bhat,Gurugram,Paid,Upi,INR,765.00,INR,765.00
INV-IN-2026-4008,12/08/26,order_LJenuHjDUrhhje,RCPT-IN-100008,Ananya Reddy,Hyderabad,Paid,Card,INR,150.00,INR,150.00
INV-IN-2026-4009,07/08/26,order_8M1cIaHZcUEqPb,RCPT-IN-100009,Vivaan Gupta,Mumbai,Paid,Upi,INR,570.00,INR,570.00
INV-IN-2026-4010,05/08/26,order_MWUFuXBVjdctBY,RCPT-IN-100010,Diya Verma,Gurugram,Paid,Card,INR,3153.00,INR,3153.00
INV-IN-2026-4011,04/08/26,order_i6gkfsUFRDzsLb,RCPT-IN-100011,Arjun Sharma,Indore,Paid,Upi,INR,164.00,INR,164.00
INV-IN-2026-4012,09/08/26,order_rLRWzBQCABugjM,RCPT-IN-100012,Ananya Das,Mumbai,Paid,Upi,INR,415.00,INR,415.00
INV-IN-2026-4013,21/08/26,order_ZWD1IAEov4QbKD,RCPT-IN-100013,Anika Patel,Kolkata,Paid,Upi,INR,107.00,INR,107.00
INV-IN-2026-4014,10/08/26,order_eRgpMPgxAFQ0FJ,RCPT-IN-100014,Aarav Gupta,Hyderabad,Paid,Card,EUR,12.07,INR,1098.19
INV-IN-2026-4015,03/08/26,order_5gobuszgI6hwgk,RCPT-IN-100015,Diya Sharma,Bengaluru,Paid,Card,INR,1381.00,INR,1381.00
INV-IN-2026-4016,12/08/26,order_vveQzE2QPuwNOv,RCPT-IN-100016,Aditi Joshi,Hyderabad,Paid,Card,INR,306.00,INR,306.00
INV-IN-2026-4017,20/08/26,order_rGsNrfSthSdddx,RCPT-IN-100017,Ananya Gupta,Mumbai,Paid,Upi,INR,298.00,INR,298.00
INV-IN-2026-4018,01/08/26,order_XIm0ogR4HtXOf5,RCPT-IN-100018,Kavya Sharma,Pune,Paid,Upi,INR,50.00,INR,50.00
INV-IN-2026-4019,11/08/26,order_wR2DRGD1qSo7JP,RCPT-IN-100019,Ananya Verma,Chennai,Paid,Card,INR,600.00,INR,600.00
INV-IN-2026-4020,14/08/26,order_7jIKeaVSTQvvpQ,RCPT-IN-100020,Aditi Bose,Indore,Paid,Card,INR,3399.00,INR,3399.00
INV-IN-2026-4021,06/08/26,order_FLVjFUPXQzkM4B,RCPT-IN-100021,Kavya Kulkarni,Kolkata,Paid,Upi,INR,250.00,INR,250.00
INV-IN-2026-4022,09/08/26,order_cb9T2039BICbtw,RCPT-IN-100022,Aditi Rao,Ahmedabad,Paid,Upi,INR,466.00,INR,466.00
INV-IN-2026-4023,17/08/26,order_6CptT9IoQhobsw,RCPT-IN-100023,Diya Gupta,Kolkata,Paid,Netbanking,INR,5264.00,INR,5264.00
INV-IN-2026-4024,07/08/26,order_9atpTDBMf4rpaF,RCPT-IN-100024,Vivaan Patel,Chennai,Paid,Upi,INR,608.00,INR,608.00
INV-IN-2026-4025,02/08/26,order_dOQw4SG8nfnL5O,RCPT-IN-100025,Rehan Patel,Bengaluru,Paid,Card,INR,623.00,INR,623.00
INV-IN-2026-4026,20/08/26,order_dCTquY1XVcKGAF,RCPT-IN-100026,Ishaan Patel,Mumbai,Paid,Upi,INR,1404.00,INR,1404.00
INV-IN-2026-4027,25/08/26,order_Xv5eBoaPzoxZCY,RCPT-IN-100027,Diya Verma,Bengaluru,Paid,Upi,INR,897.00,INR,897.00
INV-IN-2026-4028,24/08/26,order_zo88EB0OGet9d9,RCPT-IN-100028,Advait Gupta,Noida,Paid,Upi,INR,417.00,INR,417.00
INV-IN-2026-4029,05/08/26,order_ymFgMZwKPaEpCe,RCPT-IN-100029,Ishaan Nair,Noida,Paid,Upi,INR,1155.00,INR,1155.00
INV-IN-2026-4030,03/08/26,order_qwHx1SSRkRXQvQ,RCPT-IN-100030,Ananya Nair,Gurugram,Paid,Upi,INR,1446.00,INR,1446.00
INV-IN-2026-4030-DUP,03/08/26,order_qwHx1SSRkRXQvQ,RCPT-IN-100030,Ananya Nair,Gurugram,Paid,Upi,INR,1446.00,INR,1446.00
INV-IN-2026-4031,08/08/26,order_GAe40O1c6XC4SO,RCPT-IN-100031,Ananya Rao,Jaipur,Paid,Netbanking,INR,1140.00,INR,1140.00
INV-IN-2026-4032,03/08/26,order_up6N0A0UarXLnT,RCPT-IN-100032,Aarav Verma,Ahmedabad,Paid,Netbanking,INR,370.00,INR,370.00
INV-IN-2026-4033,18/08/26,order_Ta9DTvk4WaaB3x,RCPT-IN-100033,Ishaan Joshi,Gurugram,Paid,Upi,INR,812.00,INR,812.00
INV-IN-2026-4034,13/08/26,order_ZFkn7XvgKJWSKh,RCPT-IN-100034,Kavya Das,Gurugram,Paid,Upi,INR,830.00,INR,830.00
INV-IN-2026-4035,02/08/26,order_nZn2M1eLkNCZ8h,RCPT-IN-100035,Ishaan Iyer,Pune,Paid,Upi,INR,926.00,INR,926.00
INV-IN-2026-4036,24/08/26,order_TlPbYqXcgcLBAn,RCPT-IN-100036,Aditi Reddy,Ahmedabad,Paid,Upi,INR,2101.00,INR,2101.00
INV-IN-2026-4037,25/08/26,order_F7uUxugFDwg5Yp,RCPT-IN-100037,Anika Iyer,Jaipur,Paid,Card,INR,240.00,INR,240.00
INV-IN-2026-4038,04/08/26,order_R50dJQg96eNlQn,RCPT-IN-100038,Ishaan Menon,Bengaluru,Paid,Wallet,INR,3711.00,INR,3711.00
INV-IN-2026-4039,13/08/26,order_3cjhls45GQio2Z,RCPT-IN-100039,Ishaan Gupta,Noida,Paid,Netbanking,INR,414.00,INR,414.00
INV-IN-2026-4040,19/08/26,order_UuAvCOJSnobagX,RCPT-IN-100040,Vihaan Das,Gurugram,Paid,Upi,INR,1106.00,INR,1106.00
INV-IN-2026-4041,02/08/26,order_eKIA7zPtJcGEoJ,RCPT-IN-100041,Advait Gupta,Noida,Paid,Upi,INR,886.00,INR,886.00
INV-IN-2026-4042,01/08/26,order_xGAnjq8MJaMhmp,RCPT-IN-100042,Kabir Gupta,Mumbai,Paid,Card,INR,280.00,INR,280.00
INV-IN-2026-4043,02/08/26,order_HV5v7s82QtDRoj,RCPT-IN-100043,Vivaan Reddy,Mumbai,Paid,Card,INR,370.00,INR,370.00
INV-IN-2026-4044,01/08/26,order_q1iee1hsA2Bb9u,RCPT-IN-100044,Rehan Gupta,Gurugram,Paid,Netbanking,INR,896.00,INR,896.00
INV-IN-2026-4045,19/08/26,order_poCsEvCE2lwXM0,RCPT-IN-100045,Rehan Bhat,Kochi,Paid,Netbanking,INR,425.00,INR,425.00
INV-IN-2026-4046,04/08/26,order_pNSUVbQBWQ7SDt,RCPT-IN-100046,Rehan Menon,Jaipur,Paid,Upi,INR,4506.00,INR,4506.00
INV-IN-2026-4047,10/08/26,order_Fk0SKbAhMSwwDA,RCPT-IN-100047,Diya Das,Kochi,Paid,Upi,INR,1009.00,INR,1009.00
INV-IN-2026-4048,06/08/26,order_ysjyGoUWGZ7Z54,RCPT-IN-100048,Kavya Joshi,Bengaluru,Paid,Upi,INR,907.00,INR,907.00
INV-IN-2026-4049,10/08/26,order_WlUhJ31cqjvUKd,RCPT-IN-100049,Advait Gupta,Jaipur,Paid,Netbanking,INR,389.00,INR,389.00
INV-IN-2026-4050,08/08/26,order_WKPU9MQ9uGK9qG,RCPT-IN-100050,Vihaan Nair,Hyderabad,Paid,Upi,INR,1040.00,INR,1040.00
INV-IN-2026-4051,14/08/26,order_oSdBJQmvZAvP62,RCPT-IN-100051,Sara Rao,Kochi,Paid,Upi,INR,452.00,INR,452.00
INV-IN-2026-4052,08/08/26,order_Q2bedBn2ahrq73,RCPT-IN-100052,Anika Das,Mumbai,Paid,Card,SGD,22.76,INR,1405.88
INV-IN-2026-4053,02/08/26,order_Boy1XhVav8dNrL,RCPT-IN-100053,Advait Iyer,Kochi,Paid,Upi,INR,254.00,INR,254.00
INV-IN-2026-4054,12/08/26,order_9hOz9ZdNKI7xEz,RCPT-IN-100054,Ananya Das,Indore,Paid,Upi,INR,541.00,INR,541.00
INV-IN-2026-4055,08/08/26,order_y2ORtYrQbrLeAz,RCPT-IN-100055,Arjun Menon,Gurugram,Paid,Upi,INR,810.00,INR,810.00
INV-IN-2026-4056,11/08/26,order_1WolAqAN8EpSQm,RCPT-IN-100056,Vihaan Bhat,Gurugram,Paid,Upi,INR,311.00,INR,311.00
INV-IN-2026-4057,15/08/26,order_o1TMfsNhFv1cq4,RCPT-IN-100057,Diya Gupta,Noida,Paid,Upi,INR,274.00,INR,274.00
INV-IN-2026-4058,05/08/26,order_fqS1dXba9rELoX,RCPT-IN-100058,Aarav Sharma,Jaipur,Paid,Upi,INR,118.00,INR,118.00
INV-IN-2026-4059,21/08/26,order_D0SSW0fZVgR3gW,RCPT-IN-100059,Vivaan Das,Mumbai,Paid,Upi,INR,792.00,INR,792.00
INV-IN-2026-4060,11/08/26,order_qDyg6inYnJorss,RCPT-IN-100060,Vivaan Joshi,Ahmedabad,Paid,Card,USD,8.57,INR,715.36
INV-IN-2026-4061,21/08/26,order_jtQ3TLaCUBbkpl,RCPT-IN-100061,Sara Bose,Bengaluru,Paid,Upi,INR,534.00,INR,534.00
INV-IN-2026-4062,25/08/26,order_N5JoAbAArqH92F,RCPT-IN-100062,Aditi Sharma,Hyderabad,Paid,Upi,INR,1426.00,INR,1426.00
INV-IN-2026-4063,08/08/26,order_9DtCADA4pr0nFY,RCPT-IN-100063,Sara Sharma,Chennai,Paid,Card,INR,436.00,INR,436.00
INV-IN-2026-4064,19/08/26,order_wkVSRDnptz0mV3,RCPT-IN-100064,Aarav Bhat,Pune,Paid,Upi,INR,1897.00,INR,1897.00
INV-IN-2026-4065,10/08/26,order_Kl60w4yCS1Jz43,RCPT-IN-100065,Vihaan Gupta,Kolkata,Paid,Wallet,INR,4053.00,INR,4053.00
INV-IN-2026-4066,16/08/26,order_lwAyYdiFizWxEO,RCPT-IN-100066,Kabir Gupta,Kolkata,Paid,Upi,INR,173.00,INR,173.00
INV-IN-2026-4067,17/08/26,order_C7fX3GXodyFJUm,RCPT-IN-100067,Arjun Bose,Jaipur,Paid,Upi,INR,416.00,INR,416.00
INV-IN-2026-4068,15/08/26,order_5E3moZ7Ht9FQUk,RCPT-IN-100068,Vihaan Das,Pune,Paid,Card,INR,664.00,INR,664.00
INV-IN-2026-4069,08/08/26,order_vpweDGJUwA8Mrv,RCPT-IN-100069,Sara Das,Indore,Paid,Upi,INR,834.00,INR,834.00
INV-IN-2026-4070,11/08/26,order_1OE7n3X4vIxc9G,RCPT-IN-100070,Diya Das,Chennai,Paid,Upi,INR,384.00,INR,384.00
INV-IN-2026-4071,08/08/26,order_BRk1SVzKQfGUd5,RCPT-IN-100071,Vivaan Verma,Indore,Paid,Card,INR,1161.00,INR,1161.00
INV-IN-2026-4072,18/08/26,order_JoBczgVgIcAy18,RCPT-IN-100072,Vihaan Menon,Noida,Paid,Upi,INR,650.00,INR,650.00
INV-IN-2026-4073,03/08/26,order_suha1u6DhzWVS1,RCPT-IN-100073,Diya Sharma,Noida,Paid,Netbanking,INR,1142.00,INR,1142.00
INV-IN-2026-4074,25/08/26,order_hEHWtP0136Uxt3,RCPT-IN-100074,Advait Sharma,Hyderabad,Paid,Netbanking,INR,634.00,INR,634.00
INV-IN-2026-4075,24/08/26,order_09BBG7svMQB1mo,RCPT-IN-100075,Kabir Reddy,Kochi,Paid,Upi,INR,1113.00,INR,1113.00
INV-IN-2026-4076,12/08/26,order_vZK80B8oYsam1m,RCPT-IN-100076,Advait Menon,Chennai,Paid,Card,USD,2.90,INR,242.07
INV-IN-2026-4077,11/08/26,order_bqoAXGhLEUbMgq,RCPT-IN-100077,Kavya Verma,Ahmedabad,Paid,Card,INR,843.00,INR,843.00
INV-IN-2026-4078,02/08/26,order_pKHDm996g5RFdl,RCPT-IN-100078,Rehan Gupta,Noida,Paid,Card,INR,506.00,INR,506.00
INV-IN-2026-4079,09/08/26,order_jTnee0TBPVOMgi,RCPT-IN-100079,Aarav Menon,Pune,Paid,Upi,INR,375.00,INR,375.00
INV-IN-2026-4080,08/08/26,order_1cWvwGhO9rv7Ja,RCPT-IN-100080,Ishaan Nair,Indore,Paid,Upi,INR,544.00,INR,544.00
INV-IN-2026-4081,20/08/26,order_jlHfZ9kJa2yR3n,RCPT-IN-100081,Myra Das,Hyderabad,Paid,Card,INR,3406.00,INR,3406.00
INV-IN-2026-4082,10/08/26,order_lOF06VU1m1P9UN,RCPT-IN-100082,Rehan Sharma,Bengaluru,Paid,Upi,INR,257.00,INR,257.00
INV-IN-2026-4083,22/08/26,order_pj7kJ4M9afZcxn,RCPT-IN-100083,Myra Bose,Kochi,Paid,Upi,INR,348.00,INR,348.00
INV-IN-2026-4084,06/08/26,order_0gNg5MaLDokmGW,RCPT-IN-100084,Myra Sharma,Kochi,Paid,Upi,INR,1235.00,INR,1235.00
INV-IN-2026-4085,01/08/26,order_igJkMamHJKhwgG,RCPT-IN-100085,Kabir Das,Ahmedabad,Paid,Card,GBP,8.80,INR,932.89
INV-IN-2026-4086,02/08/26,order_DO4Zlw9CcDnPPO,RCPT-IN-100086,Aarav Bhat,Ahmedabad,Paid,Card,INR,962.00,INR,962.00
INV-IN-2026-4087,20/08/26,order_y3PFLKWYLA4SZj,RCPT-IN-100087,Ishaan Bose,Noida,Paid,Upi,INR,1062.00,INR,1062.00
INV-IN-2026-4088,21/08/26,order_IFMRi1yIjcd1yz,RCPT-IN-100088,Ishaan Menon,Gurugram,Paid,Upi,INR,1591.00,INR,1591.00
INV-IN-2026-4089,13/08/26,order_XiPZmgNI3wHrgF,RCPT-IN-100089,Advait Verma,Noida,Paid,Upi,INR,394.00,INR,394.00
INV-IN-2026-4090,22/08/26,order_26dxo4o33I7RLB,RCPT-IN-100090,Advait Joshi,Kochi,Paid,Upi,INR,2308.00,INR,2308.00
INV-IN-2026-4091,14/08/26,order_CZCmKbMwTJYvCj,RCPT-IN-100091,Sara Das,Kochi,Paid,Card,INR,317.00,INR,317.00
INV-IN-2026-4092,14/08/26,order_x6Wv6FasvZvn1O,RCPT-IN-100092,Diya Menon,Noida,Paid,Upi,INR,956.00,INR,956.00
INV-IN-2026-4093,15/08/26,order_MC8s0zjQLiKxoP,RCPT-IN-100093,Vihaan Menon,Chennai,Paid,Card,INR,573.00,INR,573.00
INV-IN-2026-4094,07/08/26,order_tJlkPVo0Hjbw8K,RCPT-IN-100094,Vihaan Rao,Ahmedabad,Paid,Upi,INR,466.00,INR,466.00
INV-IN-2026-4095,13/08/26,order_HKUcdkXSKjECAd,RCPT-IN-100095,Diya Kulkarni,Kochi,Paid,Upi,INR,285.00,INR,285.00
INV-IN-2026-4096,24/08/26,order_FIvBBxZ1JSXL9o,RCPT-IN-100096,Diya Verma,Kochi,Paid,Upi,INR,285.00,INR,285.00
INV-IN-2026-4097,10/08/26,order_CGkzo60tZ5D8Nf,RCPT-IN-100097,Myra Nair,Hyderabad,Paid,Upi,INR,709.00,INR,709.00
INV-IN-2026-4098,21/08/26,order_gbJSEqDgta4VEc,RCPT-IN-100098,Kavya Gupta,Bengaluru,Paid,Card,INR,92.00,INR,92.00
INV-IN-2026-4099,19/08/26,order_FzzDurVmqTkka8,RCPT-IN-100099,Vivaan Joshi,Pune,Paid,Upi,INR,1399.00,INR,1399.00
INV-IN-2026-4100,11/08/26,order_HOL94MjvHO31Qp,RCPT-IN-100100,Ananya Bose,Ahmedabad,Paid,Card,INR,837.00,INR,837.00
INV-IN-2026-4101,19/08/26,order_o9ugGd1rZiK99M,RCPT-IN-100101,Ishaan Verma,Jaipur,Paid,Card,INR,2433.00,INR,2433.00
INV-IN-2026-4102,03/08/26,order_gvh8WufC0mWGWj,RCPT-IN-100102,Sara Iyer,Bengaluru,Paid,Upi,INR,1762.00,INR,1762.00
INV-IN-2026-4103,22/08/26,order_j7S3rqY1Jl4Qis,RCPT-IN-100103,Arjun Das,Bengaluru,Paid,Upi,INR,1566.00,INR,1566.00
INV-IN-2026-4104,20/08/26,order_CNK0XudVkdY7WU,RCPT-IN-100104,Sara Das,Chennai,Paid,Upi,INR,1550.00,INR,1550.00
INV-IN-2026-4105,08/08/26,order_sC6j5xG3Mxboko,RCPT-IN-100105,Advait Gupta,Gurugram,Paid,Wallet,EUR,27.35,INR,2488.44
INV-IN-2026-4105-DUP,08/08/26,order_sC6j5xG3Mxboko,RCPT-IN-100105,Advait Gupta,Gurugram,Paid,Wallet,EUR,27.35,INR,2488.44
INV-IN-2026-4106,05/08/26,order_yegX5PzPWJINA4,RCPT-IN-100106,Aditi Patel,Ahmedabad,Paid,Upi,INR,745.00,INR,745.00
INV-IN-2026-4107,25/08/26,order_l7FlLTlWdWxsbu,RCPT-IN-100107,Rehan Nair,Hyderabad,Paid,Upi,INR,181.00,INR,181.00
INV-IN-2026-4108,18/08/26,order_9ImDFEz04kVuIA,RCPT-IN-100108,Kabir Joshi,Bengaluru,Paid,Upi,INR,580.00,INR,580.00
INV-IN-2026-4109,01/08/26,order_onVxfmZQ8d3AB7,RCPT-IN-100109,Vivaan Menon,Bengaluru,Paid,Upi,INR,2310.00,INR,2310.00
INV-IN-2026-4110,23/08/26,order_qmkVOvnQ0tewCx,RCPT-IN-100110,Vivaan Verma,Kolkata,Paid,Upi,INR,984.00,INR,984.00
INV-IN-2026-4111,15/08/26,order_ZwF7BnIHDigNjx,RCPT-IN-100111,Sara Menon,Kochi,Paid,Upi,INR,865.00,INR,865.00
INV-IN-2026-4112,06/08/26,order_BGquAEzp6Zr3WD,RCPT-IN-100112,Rehan Patel,Indore,Paid,Card,INR,321.00,INR,321.00
INV-IN-2026-4113,08/08/26,order_yKe373xR9wI0TS,RCPT-IN-100113,Aarav Das,Gurugram,Paid,Upi,INR,585.00,INR,585.00
INV-IN-2026-4114,22/08/26,order_BzHJ6AI6TJgvWG,RCPT-IN-100114,Aditi Joshi,Noida,Paid,Wallet,INR,2506.00,INR,2506.00
INV-IN-2026-4115,11/08/26,order_sGuBD5UE4HH9fI,RCPT-IN-100115,Ananya Joshi,Kolkata,Paid,Card,INR,1047.00,INR,1047.00
INV-IN-2026-4116,24/08/26,order_9CMgDayj8XRAUs,RCPT-IN-100116,Aditi Bose,Hyderabad,Paid,Wallet,INR,1950.00,INR,1950.00
INV-IN-2026-4117,23/08/26,order_g7QsnuYP0MqHF1,RCPT-IN-100117,Kavya Kulkarni,Kolkata,Paid,Card,INR,122.00,INR,122.00
INV-IN-2026-4118,21/08/26,order_EZhRnqr0UEoziq,RCPT-IN-100118,Rehan Bhat,Ahmedabad,Paid,Card,INR,300.00,INR,300.00
INV-IN-2026-4119,12/08/26,order_LJ0qdLo8025p36,RCPT-IN-100119,Kavya Menon,Noida,Paid,Upi,INR,437.00,INR,437.00
INV-IN-2026-4120,05/08/26,order_zLwhJArIXfhqPn,RCPT-IN-100120,Ishaan Verma,Noida,Paid,Upi,INR,306.00,INR,306.00
INV-IN-2026-4121,18/08/26,order_of2FMIb9ySnxX6,RCPT-IN-100121,Aditi Patel,Chennai,Paid,Upi,INR,1620.00,INR,1620.00
INV-IN-2026-4122,07/08/26,order_Glkd7ds1baeL4E,RCPT-IN-100122,Aditi Nair,Kolkata,Paid,Upi,INR,1098.00,INR,1098.00
