Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Presentment Currency,Presentment Amount,Currency,Total
INV-IN-2026-4000,04/08/26,order_rRVFTVA9aw7HIP,RCPT-IN-100000,Aarav Sharma,Ahmedabad,Paid,Upi,INR,6384.00,INR,6384.00
INV-IN-2026-4001,06/08/26,order_lT4BNLZ2mpkGCJ,RCPT-IN-100001,Arjun Sharma,Jaipur,Paid,Upi,INR,1945.00,INR,1945.00
INV-IN-2026-4002,10/08/26,order_O0nPuMKvo8jMr8,RCPT-IN-100002,Aarav Iyer,Mumbai,Paid,Card,EUR,20.31,INR,1847.90
INV-IN-2026-4003,02/08/26,order_ejp2nnERN66NvB,RCPT-IN-100003,Kavya Das,Gurugram,Paid,Upi,INR,2081.00,INR,2081.00
INV-IN-2026-4004,06/08/26,order_6WsT9CBmoEeEuT,RCPT-IN-100004,Diya Iyer,Ahmedabad,Paid,Upi,INR,3110.00,INR,3110.00
INV-IN-2026-4005,24/08/26,order_8yB3fkAnqYYlAm,RCPT-IN-100005,Diya Joshi,Mumbai,Paid,Netbanking,INR,2413.00,INR,2413.00
INV-IN-2026-4006,14/08/26,order_sHfxnq6fQ5AXTJ,RCPT-IN-100006,Ananya Bose,Pune,Paid,Upi,INR,2354.00,INR,2354.00
INV-IN-2026-4007,11/08/26,order_YOl6UNIIfW152C,RCPT-IN-100007,Arjun Bhat,Pune,Paid,Upi,INR,1299.00,INR,1299.00
INV-IN-2026-4008,16/08/26,order_rtRkWTpykBpIZd,RCPT-IN-100008,Advait Bhat,Hyderabad,Paid,Upi,INR,1373.00,INR,1373.00
INV-IN-2026-4009,05/08/26,order_tAweitCLORxWis,RCPT-IN-100009,Kabir Rao,Pune,Paid,Wallet,INR,3592.00,INR,3592.00
INV-IN-2026-4010,23/08/26,order_8VdUpNGu30zp7t,RCPT-IN-100010,Ananya Patel,Mumbai,Paid,Upi,INR,5195.00,INR,5195.00
INV-IN-2026-4011,18/08/26,order_BNz3EbzCLiVry6,RCPT-IN-100011,Vihaan Bose,Kochi,Paid,Upi,INR,1802.00,INR,1802.00
INV-IN-2026-4012,22/08/26,order_jQTqY9235nNT2J,RCPT-IN-100012,Kabir Gupta,Jaipur,Paid,Netbanking,INR,740.00,INR,740.00
INV-IN-2026-4013,14/08/26,order_E7ida69z7ZRPef,RCPT-IN-100013,Kavya Bhat,Ahmedabad,Paid,Upi,INR,2651.00,INR,2651.00
INV-IN-2026-4014,04/08/26,order_lH2gnQtMsh4bBY,RCPT-IN-100014,Anika Joshi,Kolkata,Paid,Card,INR,4550.00,INR,4550.00
INV-IN-2026-4015,17/08/26,order_4PIuFQYGb18aiy,RCPT-IN-100015,Vivaan Joshi,Bengaluru,Paid,Card,INR,4709.00,INR,4709.00
INV-IN-2026-4016,04/08/26,order_5keJMLHNL1KS7r,RCPT-IN-100016,Vivaan Das,Mumbai,Paid,Card,INR,3192.00,INR,3192.00
INV-IN-2026-4017,11/08/26,order_XZ6MmKGgyAU5Fz,RCPT-IN-100017,Rehan Bhat,Indore,Paid,Upi,INR,2385.00,INR,2385.00
INV-IN-2026-4018,19/08/26,order_sXxbwLZNuLEzVT,RCPT-IN-100018,Aarav Menon,Indore,Paid,Upi,INR,6150.00,INR,6150.00
INV-IN-2026-4019,02/08/26,order_HwZkBHnGvPQcZg,RCPT-IN-100019,Ananya Joshi,Noida,Paid,Netbanking,INR,2270.00,INR,2270.00
INV-IN-2026-4020,15/08/26,order_faShZmTXhSepRj,RCPT-IN-100020,Vivaan Kulkarni,Kochi,Paid,Upi,INR,1256.00,INR,1256.00
INV-IN-2026-4021,01/08/26,order_bueQwPChG7zu6d,RCPT-IN-100021,Sara Patel,Ahmedabad,Paid,Card,INR,1541.00,INR,1541.00
INV-IN-2026-4022,02/08/26,order_uIPeHg5Tygn2WR,RCPT-IN-100022,Vivaan Kulkarni,Jaipur,Paid,Upi,INR,2093.00,INR,2093.00
INV-IN-2026-4023,07/08/26,order_iREwF6rKjPoXee,RCPT-IN-100023,Aditi Kulkarni,Pune,Paid,Card,INR,3082.00,INR,3082.00
INV-IN-2026-4024,03/08/26,order_jwv06LbpXlGd4U,RCPT-IN-100024,Diya Patel,Jaipur,Paid,Upi,INR,3801.00,INR,3801.00
INV-IN-2026-4025,22/08/26,order_UX6HUtckm658r6,RCPT-IN-100025,Ishaan Reddy,Noida,Paid,Card,GBP,10.22,INR,1083.42
INV-IN-2026-4026,24/08/26,order_kLLFwd42SzBOhD,RCPT-IN-100026,Sara Gupta,Bengaluru,Paid,Upi,INR,1840.00,INR,1840.00
INV-IN-2026-4027,14/08/26,order_bPtOfw6hVwdZWV,RCPT-IN-100027,Aditi Bose,Kochi,Paid,Card,INR,3605.00,INR,3605.00
INV-IN-2026-4028,20/08/26,order_zHa7a6JPvKoYrK,RCPT-IN-100028,Kavya Patel,Kolkata,Paid,Upi,INR,3524.00,INR,3524.00
INV-IN-2026-4029,02/08/26,order_WNlPmtemgOcL5R,RCPT-IN-100029,Anika Gupta,Ahmedabad,Paid,Card,INR,1297.00,INR,1297.00
INV-IN-2026-4030,11/08/26,order_A3e5XcyPtam3Ka,RCPT-IN-100030,Arjun Bhat,Kolkata,Paid,Card,INR,3477.00,INR,3477.00
INV-IN-2026-4031,24/08/26,order_nthG4esdF9vli2,RCPT-IN-100031,Aarav Verma,Gurugram,Paid,Upi,INR,1706.00,INR,1706.00
INV-IN-2026-4032,22/08/26,order_GqZrdv9y1HpcA3,RCPT-IN-100032,Arjun Rao,Mumbai,Paid,Card,INR,1391.00,INR,1391.00
INV-IN-2026-4033,01/08/26,order_MMYuHVT8RkeuoV,RCPT-IN-100033,Sara Iyer,Pune,Paid,Card,INR,2125.00,INR,2125.00
INV-IN-2026-4034,23/08/26,order_gIpNxJ0sYeV6an,RCPT-IN-100034,Kavya Rao,Kochi,Paid,Upi,INR,4311.00,INR,4311.00
INV-IN-2026-4035,08/08/26,order_KQxi5TjOWnggJk,RCPT-IN-100035,Vivaan Joshi,Gurugram,Paid,Card,GBP,27.36,INR,2900.43
INV-IN-2026-4036,25/08/26,order_ijEj6QK6v50VmJ,RCPT-IN-100036,Arjun Joshi,Chennai,Paid,Upi,INR,1262.00,INR,1262.00
INV-IN-2026-4037,19/08/26,order_2v6YnlozwBKMad,RCPT-IN-100037,Kabir Patel,Mumbai,Paid,Upi,INR,1752.00,INR,1752.00
INV-IN-2026-4038,06/08/26,order_5n6skwawSf4d15,RCPT-IN-100038,Kavya Bhat,Noida,Paid,Upi,INR,2613.00,INR,2613.00
INV-IN-2026-4039,04/08/26,order_UwyT4l4EPH2cPg,RCPT-IN-100039,Aarav Das,Kochi,Paid,Upi,INR,7969.00,INR,7969.00
INV-IN-2026-4040,08/08/26,order_GhyIH4ik8dASPu,RCPT-IN-100040,Diya Das,Ahmedabad,Paid,Card,INR,9995.00,INR,9995.00
INV-IN-2026-4041,13/08/26,order_27s5DMU12W5eBL,RCPT-IN-100041,Rehan Sharma,Indore,Paid,Card,INR,680.00,INR,680.00
INV-IN-2026-4043,06/08/26,order_iQbzkFKSwMPLRu,RCPT-IN-100043,Vihaan Verma,Pune,Paid,Upi,INR,4100.00,INR,4100.00
INV-IN-2026-4043-DUP,06/08/26,order_iQbzkFKSwMPLRu,RCPT-IN-100043,Vihaan Verma,Pune,Paid,Upi,INR,4100.00,INR,4100.00
INV-IN-2026-4044,02/08/26,order_Sg02orhv8iLmxx,RCPT-IN-100044,Sara Patel,Gurugram,Paid,Netbanking,INR,2427.00,INR,2427.00
INV-IN-2026-4045,18/08/26,order_34LUJmBmfzbgcu,RCPT-IN-100045,Rehan Nair,Jaipur,Paid,Card,INR,2458.00,INR,2458.00
INV-IN-2026-4046,19/08/26,order_KYQPKfsq1mydDU,RCPT-IN-100046,Ishaan Kulkarni,Gurugram,Paid,Upi,INR,3254.00,INR,3254.00
INV-IN-2026-4047,02/08/26,order_b7ECrtwunOSQHj,RCPT-IN-100047,Diya Reddy,Chennai,Paid,Card,INR,3529.00,INR,3529.00
INV-IN-2026-4048,20/08/26,order_NYYyDNaWPLyjzK,RCPT-IN-100048,Kavya Reddy,Jaipur,Paid,Upi,INR,622.00,INR,622.00
INV-IN-2026-4049,10/08/26,order_nBhLvQgZk7ptNR,RCPT-IN-100049,Aarav Nair,Kochi,Paid,Upi,INR,1096.00,INR,1096.00
INV-IN-2026-4050,12/08/26,order_TZmPfCMJgmICNT,RCPT-IN-100050,Aditi Bose,Kochi,Paid,Upi,INR,2864.00,INR,2864.00
INV-IN-2026-4051,23/08/26,order_WOGSXWnNIC2Bvo,RCPT-IN-100051,Aarav Verma,Kochi,Paid,Upi,INR,2023.00,INR,2023.00
INV-IN-2026-4052,22/08/26,order_VSftROK7ZMexKW,RCPT-IN-100052,Myra Menon,Noida,Paid,Card,INR,2146.00,INR,2146.00
INV-IN-2026-4053,16/08/26,order_TeuU4QEBCWU5Xk,RCPT-IN-100053,Kavya Rao,Chennai,Paid,Card,INR,3068.00,INR,3068.00
INV-IN-2026-4054,12/08/26,order_rgRTfXeBJmMROQ,RCPT-IN-100054,Rehan Bose,Noida,Paid,Card,INR,2878.00,INR,2878.00
