Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Presentment Currency,Presentment Amount,Currency,Total
INV-IN-2026-4000,04/08/26,order_6vlG8YKcCDoaZB,RCPT-IN-100000,Ananya Joshi,Bengaluru,Paid,Upi,INR,5265.00,INR,5265.00
INV-IN-2026-4001,24/08/26,order_7d8SNFGjhpKsij,RCPT-IN-100001,Arjun Iyer,Noida,Paid,Netbanking,INR,24857.00,INR,24857.00
INV-IN-2026-4002,01/08/26,order_aTx3jnjD0SGBoI,RCPT-IN-100002,Anika Patel,Gurugram,Paid,Upi,INR,21571.00,INR,21571.00
INV-IN-2026-4003,22/08/26,order_9Jv3ZNyrBLpcvb,RCPT-IN-100003,Kavya Kulkarni,Hyderabad,Paid,Upi,INR,3551.00,INR,3551.00
INV-IN-2026-4004,23/08/26,order_SrUaWzTR97VKYC,RCPT-IN-100004,Aditi Verma,Kolkata,Paid,Upi,INR,4437.00,INR,4437.00
INV-IN-2026-4005,18/08/26,order_2CQy2HPwkoeCaz,RCPT-IN-100005,Ananya Menon,Jaipur,Paid,Upi,INR,7203.00,INR,7203.00
INV-IN-2026-4006,25/08/26,order_5tSkyxD0CmwlGU,RCPT-IN-100006,Vihaan Bhat,Gurugram,Paid,Card,INR,6175.00,INR,6175.00
INV-IN-2026-4007,14/08/26,order_oIWYxT17CfZWuN,RCPT-IN-100007,Ishaan Patel,Noida,Paid,Card,INR,4683.00,INR,4683.00
INV-IN-2026-4008,10/08/26,order_Ed1AZoYQDvCaYW,RCPT-IN-100008,Myra Joshi,Hyderabad,Paid,Upi,INR,11821.00,INR,11821.00
INV-IN-2026-4009,05/08/26,order_mNipM2WyTRtSbf,RCPT-IN-100009,Myra Sharma,Gurugram,Paid,Card,INR,3475.00,INR,3475.00
INV-IN-2026-4010,19/08/26,order_yCue97oCgQRika,RCPT-IN-100010,Vivaan Sharma,Gurugram,Paid,Upi,INR,24405.00,INR,24405.00
INV-IN-2026-4011,22/08/26,order_YwCkwkazCoBIJy,RCPT-IN-100011,Vivaan Rao,Kolkata,Paid,Upi,INR,12719.00,INR,12719.00
INV-IN-2026-4012,14/08/26,order_qHn1bwgMzKhrip,RCPT-IN-100012,Rehan Verma,Gurugram,Paid,Upi,INR,4560.00,INR,4560.00
INV-IN-2026-4013,09/08/26,order_YVxzGtPJXo4bdN,RCPT-IN-100013,Kabir Verma,Gurugram,Paid,Upi,INR,9261.00,INR,9261.00
