Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Presentment Currency,Presentment Amount,Currency,Total
INV-US-2026-4000,08/10/2026,order_aC9qEwjky40UVs,RCPT-US-100000,Olivia Johnson,"Atlanta, GA",Paid,Card,USD,17.10,USD,17.10
INV-US-2026-4001,08/22/2026,order_DNxSIvPZZ63fFK,RCPT-US-100001,Amelia Miller,"Columbus, OH",Paid,Card,USD,14.12,USD,14.12
INV-US-2026-4002,08/14/2026,order_kU8Is2g8nprvDd,RCPT-US-100002,Lucas Martinez,"Portland, OR",Paid,Wallet,USD,13.68,USD,13.68
INV-US-2026-4003,08/13/2026,order_BE3NnYJoQ9WmXe,RCPT-US-100003,Sophia Davis,"Atlanta, GA",Paid,Card,EUR,13.95,USD,15.21
INV-US-2026-4004,08/04/2026,order_3Fs2QhX6KWxOii,RCPT-US-100004,Ava Taylor,"Chicago, IL",Paid,Ach,USD,4.42,USD,4.42
INV-US-2026-4005,08/25/2026,order_Msm9Wcz7uW9XFO,RCPT-US-100005,Sophia Brown,"Boston, MA",Paid,Ach,USD,12.44,USD,12.44
INV-US-2026-4006,08/20/2026,order_yoVFz8uZdZv8Fu,RCPT-US-100006,Liam Smith,"Seattle, WA",Paid,Ach,USD,4.63,USD,4.63
INV-US-2026-4007,08/15/2026,order_b3M03NBQNSgPwl,RCPT-US-100007,James Thomas,"Boston, MA",Paid,Card,USD,12.31,USD,12.31
INV-US-2026-4008,08/22/2026,order_enuHjDUrhhjeyx,RCPT-US-100008,Emma Brown,"Atlanta, GA",Paid,Wallet,USD,20.36,USD,20.36
INV-US-2026-4009,08/07/2026,order_IaHZcUEqPbENqT,RCPT-US-100009,Liam Jones,"Seattle, WA",Paid,Card,USD,7.75,USD,7.75
INV-US-2026-4010,08/08/2026,order_ctBYVhnSg9EH6y,RCPT-US-100010,Noah Smith,"Seattle, WA",Paid,Card,USD,34.11,USD,34.11
INV-US-2026-4011,08/05/2026,order_zsLb5ER8BoFzQF,RCPT-US-100011,Noah Johnson,"Nashville, TN",Paid,Ach,USD,10.23,USD,10.23
INV-US-2026-4012,08/02/2026,order_geP7cGq0pbqfi1,RCPT-US-100012,Ethan Jones,"Chicago, IL",Paid,Wallet,USD,7.38,USD,7.38
INV-US-2026-4013,08/11/2026,order_q1Y3gqSmPsSCdL,RCPT-US-100013,Sophia Smith,"Atlanta, GA",Paid,Wallet,USD,10.16,USD,10.16
INV-US-2026-4014,08/11/2026,order_JZlCZBTToOFl9h,RCPT-US-100014,Lucas Garcia,"Nashville, TN",Paid,Card,USD,8.95,USD,8.95
INV-US-2026-4015,08/24/2026,order_0rlz5tr9spOFBC,RCPT-US-100015,Mason Davis,"Columbus, OH",Paid,Card,USD,18.59,USD,18.59
INV-US-2026-4016,08/18/2026,order_SxCnopMEmJVQpv,RCPT-US-100016,Sophia Smith,"Nashville, TN",Paid,Card,USD,3.75,USD,3.75
