Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Presentment Currency,Presentment Amount,Currency,Total
INV-US-2026-4000,08/04/2026,order_MxrRVFTVA9aw7H,RCPT-US-100000,Mia Johnson,"Austin, TX",Paid,Ach,USD,11.57,USD,11.57
INV-US-2026-4001,08/16/2026,order_BNLZ2mpkGCJNcQ,RCPT-US-100001,Mason Johnson,"Denver, CO",Paid,Card,USD,68.37,USD,68.37
INV-US-2026-4002,08/19/2026,order_vo8jMr8Y4emFaD,RCPT-US-100002,Emma Thomas,"Portland, OR",Paid,Card,CAD,28.67,USD,20.93
INV-US-2026-4003,08/09/2026,order_RN66NvBERacPDC,RCPT-US-100003,Ava Martinez,"Phoenix, AZ",Paid,Ach,USD,44.60,USD,44.60
INV-US-2026-4004,08/03/2026,order_BmoEeEuTUIEEci,RCPT-US-100004,James Thomas,"Seattle, WA",Paid,Ach,USD,62.00,USD,62.00
INV-US-2026-4005,08/11/2026,order_EFFoHQ4auVY7vs,RCPT-US-100005,Amelia Martinez,"Denver, CO",Paid,Card,USD,27.43,USD,27.43
INV-US-2026-4006,08/17/2026,order_q7cf5PUZqQMobz,RCPT-US-100006,Mason Brown,"Phoenix, AZ",Paid,Card,USD,33.02,USD,33.02
INV-US-2026-4007,08/07/2026,order_hfrUt11ncUE1CR,RCPT-US-100007,Isabella Garcia,"Atlanta, GA",Paid,Card,USD,64.67,USD,64.67
INV-US-2026-4008,08/19/2026,order_rMM0eQLtAweitC,RCPT-US-100008,Ethan Thomas,"Columbus, OH",Paid,Card,USD,75.99,USD,75.99
INV-US-2026-4009,08/25/2026,order_AYjkp4gy08VdUp,RCPT-US-100009,Olivia Thomas,"Denver, CO",Paid,Ach,USD,34.70,USD,34.70
INV-US-2026-4010,08/13/2026,order_3EbzCLiVry6IeJ,RCPT-US-100010,Isabella Thomas,"Denver, CO",Paid,Card,USD,18.76,USD,18.76
INV-US-2026-4011,08/15/2026,order_hRkfMaiHgAmYBi,RCPT-US-100011,Sophia Johnson,"Seattle, WA",Paid,Card,USD,80.87,USD,80.87
INV-US-2026-4012,08/18/2026,order_B7QIsxBCMJOArS,RCPT-US-100012,Ava Brown,"Phoenix, AZ",Paid,Wallet,USD,22.01,USD,22.01
INV-US-2026-4013,08/16/2026,order_3oioNhN2inl2IO,RCPT-US-100013,Ava Anderson,"Boston, MA",Paid,Card,USD,37.12,USD,37.12
INV-US-2026-4014,08/07/2026,order_rzBGMkrW609XHt,RCPT-US-100014,Lucas Garcia,"Columbus, OH",Paid,Wallet,USD,38.38,USD,38.38
INV-US-2026-4016,08/07/2026,order_MglVzwQR6HvvxK,RCPT-US-100016,Lucas Miller,"Seattle, WA",Paid,Card,USD,22.84,USD,22.84
INV-US-2026-4017,08/24/2026,order_kLiEYgfpNsHwZk,RCPT-US-100017,Noah Davis,"Portland, OR",Paid,Card,USD,36.08,USD,36.08
INV-US-2026-4018,08/25/2026,order_9CY78KYeK2finm,RCPT-US-100018,Noah Martinez,"Portland, OR",Paid,Card,CAD,38.97,USD,28.45
INV-US-2026-4019,08/12/2026,order_UvZDlu8UEz5Obu,RCPT-US-100019,Ethan Johnson,"Nashville, TN",Paid,Card,USD,47.08,USD,47.08
INV-US-2026-4020,08/08/2026,order_xvh0I8SuIPeHg5,RCPT-US-100020,Noah Anderson,"Phoenix, AZ",Paid,Card,USD,21.69,USD,21.69
INV-US-2026-4021,08/07/2026,order_iREwF6rKjPoXee,RCPT-US-100021,Sophia Thomas,"Seattle, WA",Paid,Card,USD,32.92,USD,32.92
INV-US-2026-4022,08/03/2026,order_6LbpXlGd4UFiFb,RCPT-US-100022,Noah Smith,"Denver, CO",Paid,Card,USD,47.02,USD,47.02
INV-US-2026-4023,08/22/2026,order_km658r6RchzTdU,RCPT-US-100023,Ava Garcia,"Austin, TX",Paid,Card,USD,14.48,USD,14.48
INV-US-2026-4024,08/13/2026,order_kS9Bp1zbEliTyi,RCPT-US-100024,Mia Johnson,"Boston, MA",Paid,Card,USD,21.43,USD,21.43
