Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Presentment Currency,Presentment Amount,Currency,Total
INV-US-2026-4000,08/04/2026,order_y1fPViJ6vlG8YK,RCPT-US-100000,James Williams,"Chicago, IL",Paid,Card,USD,79.47,USD,79.47
INV-US-2026-4001,08/08/2026,order_w7d8SNFGjhpKsi,RCPT-US-100001,Emma Jones,"Denver, CO",Paid,Wallet,USD,237.79,USD,237.79
INV-US-2026-4002,08/01/2026,order_3jnjD0SGBoIV9j,RCPT-US-100002,Ava Martinez,"Columbus, OH",Paid,Card,USD,169.64,USD,169.64
INV-US-2026-4003,08/13/2026,order_TQ5FO4D34fYxBr,RCPT-US-100003,Logan Garcia,"Portland, OR",Paid,Card,USD,24.16,USD,24.16
INV-US-2026-4004,08/10/2026,order_dHRkxcA2CQy2HP,RCPT-US-100004,Mason Johnson,"Atlanta, GA",Paid,Card,USD,30.75,USD,30.75
INV-US-2026-4005,08/19/2026,order_CH6vLBInrI7uSe,RCPT-US-100005,Noah Anderson,"Austin, TX",Paid,Ach,USD,177.33,USD,177.33
INV-US-2026-4006,08/20/2026,order_vj7vTd4q9oIWYx,RCPT-US-100006,Ava Thomas,"Chicago, IL",Paid,Card,CAD,421.00,USD,307.33
INV-US-2026-4007,08/18/2026,order_0LZ0Xkf9Bi5nob,RCPT-US-100007,Emma Taylor,"Portland, OR",Paid,Card,USD,202.69,USD,202.69
INV-US-2026-4008,08/15/2026,order_EberJpzTHnBwhm,RCPT-US-100008,Lucas Jones,"Atlanta, GA",Paid,Card,USD,112.91,USD,112.91
INV-US-2026-4009,08/14/2026,order_7Hs6TQH90lF1F9,RCPT-US-100009,Ethan Jones,"Atlanta, GA",Paid,Card,USD,101.36,USD,101.36
INV-US-2026-4010,08/14/2026,order_YwCkwkazCoBIJy,RCPT-US-100010,Amelia Davis,"Denver, CO",Paid,Card,USD,234.25,USD,234.25
INV-US-2026-4011,08/10/2026,order_Khriplm75zN1ER,RCPT-US-100011,Olivia Martinez,"Portland, OR",Paid,Card,USD,58.06,USD,58.06
INV-US-2026-4012,08/07/2026,order_v3JEjXoCwCc0DK,RCPT-US-100012,Mia Taylor,"Boston, MA",Paid,Card,USD,144.74,USD,144.74
INV-US-2026-4013,08/14/2026,order_VsJG2uqxpo29V8,RCPT-US-100013,Noah Williams,"Columbus, OH",Paid,Card,AUD,52.98,USD,34.97
INV-US-2026-4014,08/18/2026,order_yTjF4feWt7Dxaq,RCPT-US-100014,Liam Johnson,"Austin, TX",Paid,Ach,USD,38.74,USD,38.74
INV-US-2026-4015,08/08/2026,order_fuUvxuaVXiOlb2,RCPT-US-100015,Isabella Thomas,"Denver, CO",Paid,Card,USD,62.47,USD,62.47
INV-US-2026-4016,08/11/2026,order_yKuo1C0diZopCI,RCPT-US-100016,Mia Garcia,"Nashville, TN",Paid,Ach,USD,170.84,USD,170.84
INV-US-2026-4017,08/18/2026,order_2nbayMHtN7YA3a,RCPT-US-100017,Emma Brown,"Austin, TX",Paid,Card,USD,22.31,USD,22.31
INV-US-2026-4018,08/10/2026,order_ke4oxF43ORDx5I,RCPT-US-100018,Olivia Johnson,"Chicago, IL",Paid,Card,USD,63.99,USD,63.99
INV-US-2026-4019,08/03/2026,order_kZPUmlqCVw79hj,RCPT-US-100019,Ava Johnson,"Chicago, IL",Paid,Card,USD,121.39,USD,121.39
INV-US-2026-4020,08/23/2026,order_57OlF5gKOMbsHi,RCPT-US-100020,Noah Johnson,"Portland, OR",Paid,Card,USD,94.48,USD,94.48
INV-US-2026-4021,08/17/2026,order_NVJ3IxiK05Xvt9,RCPT-US-100021,Lucas Thomas,"Portland, OR",Paid,Ach,USD,53.02,USD,53.02
INV-US-2026-4022,08/18/2026,order_2U9KrTV33MBWkq,RCPT-US-100022,Olivia Williams,"Phoenix, AZ",Paid,Card,USD,142.58,USD,142.58
INV-US-2026-4023,08/11/2026,order_LluubikRgMm3Lr,RCPT-US-100023,Isabella Miller,"Atlanta, GA",Paid,Card,USD,43.52,USD,43.52
INV-US-2026-4024,08/06/2026,order_qkwzoWxYQsWwNs,RCPT-US-100024,Mason Brown,"Seattle, WA",Paid,Card,USD,129.60,USD,129.60
INV-US-2026-4025,08/23/2026,order_kOeR2HfPz2afdv,RCPT-US-100025,Sophia Garcia,"Nashville, TN",Paid,Wallet,USD,38.89,USD,38.89
INV-US-2026-4026,08/03/2026,order_N7lWMeniU4VIyO,RCPT-US-100026,Emma Jones,"Portland, OR",Paid,Card,USD,209.70,USD,209.70
INV-US-2026-4027,08/18/2026,order_HYgdNMJOLcGSgQ,RCPT-US-100027,James Davis,"Atlanta, GA",Paid,Card,USD,140.98,USD,140.98
INV-US-2026-4028,08/21/2026,order_1FigdULkyoJtTe,RCPT-US-100028,Noah Smith,"Nashville, TN",Paid,Card,USD,106.90,USD,106.90
INV-US-2026-4029,08/12/2026,order_QZRsddCDO8GxJV,RCPT-US-100029,Ava Garcia,"Nashville, TN",Paid,Card,USD,180.05,USD,180.05
INV-US-2026-4030,08/03/2026,order_D4g3OfwKC3gmuy,RCPT-US-100030,James Brown,"Atlanta, GA",Paid,Card,USD,99.06,USD,99.06
INV-US-2026-4031,08/14/2026,order_XoAuUJ6iwecmuR,RCPT-US-100031,Mia Johnson,"Portland, OR",Paid,Card,USD,218.29,USD,218.29
INV-US-2026-4032,08/10/2026,order_vGCR9c7NKcdcAh,RCPT-US-100032,Liam Brown,"Denver, CO",Paid,Card,USD,366.29,USD,366.29
INV-US-2026-4033,08/04/2026,order_fborF9u4kE3IHp,RCPT-US-100033,Lucas Anderson,"Seattle, WA",Paid,Ach,USD,87.85,USD,87.85
INV-US-2026-4034,08/18/2026,order_5zYpXnqwSU2VXQ,RCPT-US-100034,Ethan Brown,"Boston, MA",Paid,Card,USD,103.02,USD,103.02
INV-US-2026-4035,08/12/2026,order_sJoYA7iLqLbyrn,RCPT-US-100035,Lucas Smith,"Denver, CO",Paid,Card,USD,99.35,USD,99.35
