Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Total,Currency
INV/2026/4000,10/08/2026,order_J7faC9qEwjky40,RCPT-D2C-100000,Vivaan Sethi,Jaipur,Paid,Upi,941.51,INR
INV/2026/4001,03/08/2026,order_WB8dWKnHfDNxSI,RCPT-D2C-100001,Myra Kulkarni,Surat,Paid,Wallet,704.62,INR
INV/2026/4002,06/08/2026,order_qOAf1lLQSAJaiX,RCPT-D2C-100002,Sara Gupta,Kochi,Paid,Upi,2051.45,INR
INV/2026/4003,20/08/2026,order_VmDGAkJiG8XnBE,RCPT-D2C-100003,Arjun Das,Chennai,Paid,Card,427.91,INR
INV/2026/4004,16/08/2026,order_XJsi6BwhTp3Fs2,RCPT-D2C-100004,Vivaan Khan,Kolkata,Paid,Card,458.03,INR
INV/2026/4005,17/08/2026,order_uBByReQMsm9Wcz,RCPT-D2C-100005,Vivaan Joshi,Mumbai,Paid,Upi,1040.67,INR
INV/2026/4006,08/08/2026,order_twMe4LbyoVFz8u,RCPT-D2C-100006,Myra Nair,Kochi,Paid,Upi,159.06,INR
INV/2026/4007,05/08/2026,order_AzupGhv7Ib3M03,RCPT-D2C-100007,Aditi Patel,Hyderabad,Paid,Upi,1086.60,INR
INV/2026/4008,25/08/2026,order_iJhgB3cxLmAxzJ,RCPT-D2C-100008,Rehan Reddy,Kolkata,Paid,Upi,680.98,INR
INV/2026/4009,22/08/2026,order_w56EcUngmgMsRc,RCPT-D2C-100009,Rehan Khan,Kochi,Paid,Upi,1049.67,INR
INV/2026/4010,09/08/2026,order_xJ8tpqXJQ4I9dO,RCPT-D2C-100010,Rehan Menon,Indore,Paid,Netbanking,1089.12,INR
INV/2026/4011,06/08/2026,order_hnSg9EH6yO4GFQ,RCPT-D2C-100011,Ishaan Das,Coimbatore,Paid,Wallet,1679.27,INR
INV/2026/4012,14/08/2026,order_oFzQFm2OEQ3HdA,RCPT-D2C-100012,Diya Khan,Mumbai,Paid,Card,484.59,INR
INV/2026/4013,09/08/2026,order_CABugjMgeP7cGq,RCPT-D2C-100013,Advait Sethi,Kolkata,Paid,Upi,1360.90,INR
INV/2026/4014,13/08/2026,order_Fq1Y3gqSmPsSCd,RCPT-D2C-100014,Aarav Das,Chennai,Paid,Card,481.82,INR
INV/2026/4015,18/08/2026,order_xAFQ0FJZlCZBTT,RCPT-D2C-100015,Vihaan Gupta,Indore,Paid,Upi,2317.26,INR
INV/2026/4016,20/08/2026,order_I6hwgk10zB0rlz,RCPT-D2C-100016,Reyansh Nair,Bengaluru,Paid,Upi,1262.84,INR
INV/2026/4017,16/08/2026,order_2QPuwNOvpdf2YE,RCPT-D2C-100017,Diya Patel,Mumbai,Paid,Upi,870.07,INR
INV/2026/4018,11/08/2026,order_H5jMTF7eBSdE0g,RCPT-D2C-100018,Vihaan Nair,Pune,Paid,Card,824.45,INR
INV/2026/4019,09/08/2026,order_8frcZTuJaWYUH1,RCPT-D2C-100019,Sara Rao,Surat,Paid,Upi,864.39,INR
INV/2026/4020,07/08/2026,order_qSo7JPRbgUMxXy,RCPT-D2C-100020,Aarav Kulkarni,Kolkata,Paid,Netbanking,778.90,INR
INV/2026/4021,24/08/2026,order_STQvvpQZpPTejq,RCPT-D2C-100021,Ishaan Menon,Mumbai,Paid,Wallet,1575.33,INR
INV/2026/4022,16/08/2026,order_M4Bv3aYavhNYRV,RCPT-D2C-100022,Rehan Das,Jaipur,Paid,Upi,543.35,INR
INV/2026/4023,05/08/2026,order_039BICbtw5ze9l,RCPT-D2C-100023,Vihaan Kulkarni,Surat,Paid,Upi,2164.11,INR
INV/2026/4024,15/08/2026,order_9IoQhobswHGETh,RCPT-D2C-100024,Aditi Khan,Coimbatore,Paid,Card,2268.59,INR
INV/2026/4025,01/08/2026,order_DBMf4rpaFQOqb7,RCPT-D2C-100025,Rehan Iyer,Kochi,Paid,Wallet,3330.09,INR
INV/2026/4026,14/08/2026,order_SG8nfnL5Ofa6qD,RCPT-D2C-100026,Arjun Kulkarni,Bengaluru,Paid,Upi,1479.66,INR
INV/2026/4027,20/08/2026,order_p7hvdCTquY1XVc,RCPT-D2C-100027,Aarav Nair,Hyderabad,Paid,Upi,918.22,INR
INV/2026/4028,14/08/2026,order_UXv5eBoaPzoxZC,RCPT-D2C-100028,Anika Nair,Coimbatore,Paid,Upi,928.65,INR
INV/2026/4029,09/08/2026,order_TAuwm6zo88EB0O,RCPT-D2C-100029,Anika Kulkarni,Coimbatore,Paid,Upi,500.39,INR
INV/2026/4031,03/08/2026,order_2xqwHx1SSRkRXQ,RCPT-D2C-100031,Kavya Bhat,Gurugram,Paid,Upi,900.55,INR
INV/2026/4032,08/08/2026,order_0O1c6XC4SOHDMm,RCPT-D2C-100032,Vihaan Joshi,Kolkata,Paid,Netbanking,561.83,INR
INV/2026/4033,06/08/2026,order_NQCmup6N0A0Uar,RCPT-D2C-100033,Kabir Nair,Gurugram,Paid,Upi,698.84,INR
INV/2026/4034,06/08/2026,order_MZuZN8Ab5KbH0F,RCPT-D2C-100034,Vivaan Bhat,Coimbatore,Paid,Upi,2185.55,INR
INV/2026/4035,01/08/2026,order_K7EGYfwzy9zMTI,RCPT-D2C-100035,Sara Iyer,Jaipur,Paid,Upi,841.78,INR
INV/2026/4036,13/08/2026,order_WHJPu05MC4j1wr,RCPT-D2C-100036,Myra Bhat,Kolkata,Paid,Card,1748.14,INR
INV/2026/4037,25/08/2026,order_cwnx0d1LzeZGEI,RCPT-D2C-100037,Vivaan Nair,Coimbatore,Paid,Upi,522.74,INR
INV/2026/4038,17/08/2026,order_Enus0HMI4fS9z6,RCPT-D2C-100038,Reyansh Nair,Surat,Paid,Upi,2270.23,INR
INV/2026/4039,25/08/2026,order_PUXCMLZKo7RrU5,RCPT-D2C-100039,Aditi Reddy,Coimbatore,Paid,Upi,2419.03,INR
INV/2026/4040,21/08/2026,order_VwFcOLnv9DS0hQ,RCPT-D2C-100040,Sara Sharma,Kochi,Paid,Wallet,362.46,INR
INV/2026/4041,02/08/2026,order_eKIA7zPtJcGEoJ,RCPT-D2C-100041,Aditi Kulkarni,Coimbatore,Paid,Upi,794.81,INR
INV/2026/4042,01/08/2026,order_xGAnjq8MJaMhmp,RCPT-D2C-100042,Kabir Nair,Hyderabad,Paid,Card,467.89,INR
INV/2026/4043,24/08/2026,order_v7s82QtDRojrbr,RCPT-D2C-100043,Aarav Menon,Hyderabad,Paid,Card,577.74,INR
INV/2026/4044,24/08/2026,order_yNZnlEk6KJCBHG,RCPT-D2C-100044,Aarav Iyer,Pune,Paid,Card,1328.82,INR
INV/2026/4045,21/08/2026,order_w6t8YGPNNHCC82,RCPT-D2C-100045,Vihaan Bose,Ahmedabad,Paid,Upi,623.34,INR
INV/2026/4046,04/08/2026,order_e2SnvByaBbhxGW,RCPT-D2C-100046,Diya Patel,Kochi,Paid,Upi,773.89,INR
INV/2026/4047,03/08/2026,order_L9flW91gQk8KS0,RCPT-D2C-100047,Rehan Menon,Mumbai,Paid,Upi,1515.81,INR
INV/2026/4048,25/08/2026,order_b5igKY4oO8dIim,RCPT-D2C-100048,Vivaan Rao,Kolkata,Paid,Card,1091.51,INR
INV/2026/4049,15/08/2026,order_t01nJuJPuUmhWK,RCPT-D2C-100049,Ananya Menon,Indore,Paid,Card,395.51,INR
INV/2026/4050,04/08/2026,order_2ybsOgoSdBJQmv,RCPT-D2C-100050,Reyansh Verma,Kochi,Paid,Upi,1217.72,INR
INV/2026/4051,24/08/2026,order_yZttoKQ2bedBn2,RCPT-D2C-100051,Aarav Kulkarni,Surat,Paid,Card,1352.63,INR
INV/2026/4052,04/08/2026,order_hVav8dNrLZgw7H,RCPT-D2C-100052,Diya Das,Hyderabad,Paid,Upi,1568.02,INR
INV/2026/4053,13/08/2026,order_hOz9ZdNKI7xEzz,RCPT-D2C-100053,Rehan Khan,Surat,Paid,Upi,2182.42,INR
INV/2026/4054,12/08/2026,order_LeAzuzRWPpTUef,RCPT-D2C-100054,Arjun Bose,Surat,Paid,Card,162.50,INR
INV/2026/4055,03/08/2026,order_QmGlJ2OLxcWyJN,RCPT-D2C-100055,Ishaan Nair,Indore,Paid,Netbanking,2535.01,INR
INV/2026/4056,18/08/2026,order_ed5JsfPfKim3vA,RCPT-D2C-100056,Kabir Bhat,Chennai,Paid,Card,693.42,INR
INV/2026/4057,22/08/2026,order_5JCNtaoIVG3qXV,RCPT-D2C-100057,Kavya Bose,Noida,Paid,Upi,450.49,INR
INV/2026/4058,09/08/2026,order_loFyCZuj4ZikDZ,RCPT-D2C-100058,Kavya Sethi,Jaipur,Paid,Card,1197.01,INR
INV/2026/4059,02/08/2026,order_dowLGqL3CaxG67,RCPT-D2C-100059,Vivaan Gupta,Coimbatore,Paid,Netbanking,524.51,INR
INV/2026/4060,23/08/2026,order_s6ZcEArYml8qJe,RCPT-D2C-100060,Ananya Nair,Indore,Paid,Upi,565.69,INR
INV/2026/4061,16/08/2026,order_RukPcuvL7DXxvt,RCPT-D2C-100061,Vihaan Bose,Indore,Paid,Upi,1151.97,INR
INV/2026/4062,16/08/2026,order_31fmDUX8kucerK,RCPT-D2C-100062,Vivaan Menon,Indore,Paid,Wallet,2277.96,INR
INV/2026/4063,16/08/2026,order_1Jm1Tlb4PYYrYm,RCPT-D2C-100063,Aarav Rao,Hyderabad,Paid,Card,727.24,INR
INV/2026/4064,06/08/2026,order_fzYMywu7OTmDrZ,RCPT-D2C-100064,Aarav Kulkarni,Ahmedabad,Paid,Card,2689.29,INR
INV/2026/4065,18/08/2026,order_sSXkkWZxh2JPC7,RCPT-D2C-100065,Vivaan Bhat,Coimbatore,Paid,Card,1211.41,INR
INV/2026/4066,11/08/2026,order_cxl0m9IQ1CVMLY,RCPT-D2C-100066,Diya Iyer,Kolkata,Paid,Upi,796.21,INR
INV/2026/4067,23/08/2026,order_96qgZLc2KX9PuO,RCPT-D2C-100067,Aditi Joshi,Bengaluru,Paid,Wallet,885.69,INR
INV/2026/4068,01/08/2026,order_cwpGeUXQYHXeYK,RCPT-D2C-100068,Arjun Sharma,Ahmedabad,Paid,Upi,1113.26,INR
INV/2026/4069,07/08/2026,order_Y1BoEcVU0OeHoX,RCPT-D2C-100069,Reyansh Iyer,Pune,Paid,Upi,358.62,INR
INV/2026/4070,18/08/2026,order_eHJgDo5yq7Nje1,RCPT-D2C-100070,Aditi Patel,Chennai,Paid,Upi,1300.24,INR
INV/2026/4071,09/08/2026,order_gIcAy18hSLXbC6,RCPT-D2C-100071,Aditi Menon,Pune,Paid,Upi,1487.93,INR
INV/2026/4072,17/08/2026,order_AEsuha1u6DhzWV,RCPT-D2C-100072,Advait Sethi,Pune,Paid,Card,1126.36,INR
INV/2026/4073,09/08/2026,order_EHWtP0136Uxt3Y,RCPT-D2C-100073,Diya Bose,Surat,Paid,Upi,1016.26,INR
INV/2026/4073-DUP,09/08/2026,order_EHWtP0136Uxt3Y,RCPT-D2C-100073,Diya Bose,Surat,Paid,Upi,1016.26,INR
INV/2026/4074,04/08/2026,order_BG7svMQB1mokdh,RCPT-D2C-100074,Anika Reddy,Chennai,Paid,Upi,2620.98,INR
INV/2026/4075,23/08/2026,order_OJqkdvZK80B8oY,RCPT-D2C-100075,Diya Kulkarni,Bengaluru,Paid,Upi,1069.75,INR
INV/2026/4076,11/08/2026,order_bqoAXGhLEUbMgq,RCPT-D2C-100076,Myra Bhat,Indore,Paid,Card,1377.62,INR
INV/2026/4077,20/08/2026,order_6g5RFdli7JcHgI,RCPT-D2C-100077,Advait Bose,Hyderabad,Paid,Upi,471.61,INR
INV/2026/4078,03/08/2026,order_BPVOMgiYlZA7WK,RCPT-D2C-100078,Sara Sethi,Hyderabad,Paid,Upi,370.54,INR
INV/2026/4079,07/08/2026,order_rv7JaVqWIrMnn2,RCPT-D2C-100079,Aditi Gupta,Noida,Paid,Card,1169.08,INR
INV/2026/4080,01/08/2026,order_SuWSWZhjmYpUAy,RCPT-D2C-100080,Myra Bhat,Hyderabad,Paid,Upi,1405.49,INR
INV/2026/4081,10/08/2026,order_569ABDQk5fT6ix,RCPT-D2C-100081,Advait Verma,Noida,Paid,Upi,1349.68,INR
INV/2026/4082,02/08/2026,order_fZcxn5lVshv0FK,RCPT-D2C-100082,Vivaan Nair,Surat,Paid,Upi,2110.77,INR
INV/2026/4083,06/08/2026,order_MaLDokmGWkoouC,RCPT-D2C-100083,Aarav Sharma,Hyderabad,Paid,Netbanking,672.80,INR
INV/2026/4084,18/08/2026,order_MamHJKhwgGBGEK,RCPT-D2C-100084,Rehan Bhat,Jaipur,Paid,Upi,1390.55,INR
INV/2026/4085,02/08/2026,order_cnYBDO4Zlw9CcD,RCPT-D2C-100085,Diya Menon,Jaipur,Paid,Card,461.35,INR
INV/2026/4086,11/08/2026,order_y3PFLKWYLA4SZj,RCPT-D2C-100086,Sara Kulkarni,Indore,Paid,Card,603.60,INR
INV/2026/4087,04/08/2026,order_PtIFMRi1yIjcd1,RCPT-D2C-100087,Reyansh Menon,Chennai,Paid,Netbanking,1125.08,INR
INV/2026/4088,24/08/2026,order_iPZmgNI3wHrgFi,RCPT-D2C-100088,Myra Sharma,Indore,Paid,Upi,578.70,INR
INV/2026/4089,05/08/2026,order_gwTMEtTFOSI0tZ,RCPT-D2C-100089,Myra Bhat,Coimbatore,Paid,Upi,703.76,INR
INV/2026/4090,21/08/2026,order_5oGLSHR6muOtrC,RCPT-D2C-100090,Ishaan Verma,Gurugram,Paid,Upi,877.34,INR
INV/2026/4091,05/08/2026,order_rkW7AH1wxpS5C4,RCPT-D2C-100091,Diya Khan,Indore,Paid,Upi,1039.26,INR
INV/2026/4092,11/08/2026,order_gvs11oocgDrsNb,RCPT-D2C-100092,Arjun Sethi,Coimbatore,Paid,Netbanking,898.32,INR
INV/2026/4093,07/08/2026,order_oTIIrtfqePtPAg,RCPT-D2C-100093,Kabir Gupta,Kochi,Paid,Card,696.89,INR
INV/2026/4094,19/08/2026,order_XfNCD5RTMHsTc9,RCPT-D2C-100094,Sara Bhat,Ahmedabad,Paid,Upi,1431.71,INR
INV/2026/4095,10/08/2026,order_fMyiUAW6FpSon7,RCPT-D2C-100095,Aditi Khan,Mumbai,Paid,Upi,1376.41,INR
INV/2026/4096,01/08/2026,order_0WUOXIj6X11QPD,RCPT-D2C-100096,Myra Iyer,Gurugram,Paid,Upi,1278.08,INR
INV/2026/4097,16/08/2026,order_NuXAC1n21ygbJS,RCPT-D2C-100097,Sara Nair,Ahmedabad,Paid,Card,1416.11,INR
